REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BCC10,denarius,CAESAR VESPASIANVS AVG,AN[NONA AVG],Rome,Vespasian,Vespasian,0.003,0.378,20.6,0.014,0.001,0.59,0.001,0.0023,0.0106,0.00007,0.00005,0.0001,0.009,78.4,79.37,,,,,
BCC11,denarius,T CAESAR IMP VESPASIANVS,"COS VI  , Mars.",Rome,Vespasian,Titus,0.003,0.377,22.99,0.008,0.002,0.63,0.008,0.027,0.2527,0.00008,0.00005,0.0001,0.021,75.68,76.7,,,,,
BCC12,denarius,T CAESAR IMP VESPAS[IANVS],"TR POT VIII [COS VII] , trophy.",Rome,Vespasian,Titus,0.002,0.631,19.3,0.006,0.001,0.46,0.005,0.001,0.0001,0.00014,0.00004,0.0003,0,79.59,80.69,,,,,
BCC13,denarius,T CAESAR IMP VESPASIANVS,IOVIS CVSTOS,Rome,Vespasian,Titus,0.011,0.599,17.08,0.004,0.003,0.29,0.015,0.0009,0.0003,0.00031,0.00004,0.0004,0,84.31,85.2,,,,,
BCC137,denarius,IMP NERO CAESAR AVGVSTVS ,IVPPITER CVSTOS,Rome,Nero,Nero,0.003,0.395,9.6,0.004,0.001,1.09,0.004,0.0013,0.001,0.00014,0.00006,0.0001,0.029,88.87,90.38,,,,,
BCC138,denarius,IMP NERO CAES[AR] AVGVSTVS,SALVS,Rome,Nero,Nero,0.009,0.3,20.39,0.042,0.003,0.61,0.012,0.0078,0.0006,0.00009,0.00004,0.0004,0.02,78.6,79.53,,,,,
BCC139,denarius,[IMP] SER GALBA CAESAR AVG [P M] ,[DIVA AVGVSTA],Rome,Galba,Galba,0.003,0.923,12.22,0.003,0,1.07,0.001,0.0011,0.0033,0.00009,0.00005,0.0001,0.008,85.77,87.77,,,,,
BCC14,denarius,T CAESAR VESPASIANVS ,ANNONA AVG,Rome,Vespasian,Titus,0.003,0.475,23.65,0.013,0.002,0.74,0.011,0.0086,0.004,0.00006,0.00005,0.0001,0,75.1,76.31,,,,,
BCC140,denarius,[IMP SER] GALBA CAESAR,DIVA AVGVSTA,Rome,Galba,Galba,0.009,0.976,19.58,0.04,0.003,1.26,0.011,0.0516,0.018,0.00008,0.00005,0.0004,0.001,78.05,80.29,,,,,
BCC141,denarius,IMP SER GALBA CAESAR AVG ,ROMA RENASC,Rome,Galba,Galba,0.006,0.627,11.26,0.015,0.002,1.36,0.007,0.0183,0.0009,0.0001,0.00005,0.0001,0.005,86.7,88.7,,,,,
BCC142,denarius,[IMP SER G]ALBA AVG ,SPQR / OB / CS,Rome,Galba,Galba,0.012,0.639,11.04,0.007,0.002,0.4,0.009,0.0097,0.0248,0.00044,0.0003,0.0006,0.003,87.85,88.89,,,,,
BCC143,denarius,IMP SER GALBA AVG ,SPQR / OB / CS,Rome,Galba,Galba,0.002,0.667,11.98,0.001,0.001,0.58,0.003,0.0041,0.0055,0.00002,0.00004,0.0003,0.003,86.75,88,,,,,
BCC144,denarius,[A VITEL]LIVS GERMAN IMP [TRP] ,CON[COR]DIA PR,Rome,Vitellius,Vitellius,0.003,0.658,17.39,0.003,0.001,0.7,0.003,0.0011,0.0001,0.00005,0.00005,0.005,0.001,81.24,82.6,,,,,
BCC145,denarius,A VITELLIVS GERM IMP AVG TRP,PONT MAXIM,Rome,Vitellius,Vitellius,0.009,0.659,21.51,0.005,0.002,0.29,0.011,0.0011,0.0006,0.00005,0.00005,0.0001,0,77.52,78.46,,,,,
BCC146,denarius,IMP CAESAR VESPASIANVS AVG,"COS ITER TR POT, Mars.",Rome,Vespasian,Vespasian,0.005,0.575,18.79,0.002,0.001,0.43,0.011,0.0009,0.0001,0.00001,0.00004,0.0001,0,80.19,81.19,,,,,
BCC147,denarius,IMP CAESAR VESPASIAN[VS AVG],"COS ITER [TR P]OT, Mars.",Rome,Vespasian,Vespasian,0.003,0.604,23.06,0.007,0.003,0.53,0.01,0.0012,0.0003,0.00004,0.00233,0.0762,0.001,75.7,76.83,,,,,
BCC148,denarius,IMP CAES VESP AV[G PM] ,"TRI POT II COS III PP, Pax seated",Rome,Vespasian,Vespasian,0.006,0.647,23.73,0.02,0.003,0.25,0.014,0.0013,0.0001,0.00013,0.00006,0.0001,0.001,75.33,76.23,,,,,
BCC149,denarius,[IMP] CAES [VESP AVG PM] ,[TRI POT II] COS III PP,Rome,Vespasian,Vespasian,0.006,0.636,25.4,0.005,0.003,0.23,0.009,0.0011,0.0001,0.00001,0.00005,0.0001,0,73.71,74.58,,,,,
BCC15,denarius,T CAESAR VESPASIAN(VS),"IMP XIIII, Sow.",Rome,Vespasian,Titus,0.002,0.465,20.59,0.018,0.002,0.53,0.006,0.0087,0.002,0.00007,0.00004,0.0001,0.001,78.38,79.37,,,,,
BCC150,denarius,IMP CAES VESP [AVG P]M COS IIII,CONCORD[IA] AVGVSTI,Rome,Vespasian,Vespasian,0.019,0.338,22.85,0.007,0.004,0.31,0.023,0.035,0.0109,0.00004,0.00004,0.0002,0.034,76.37,77.05,,,,,
BCC151,denarius,[T CAES I]MP PONT TR POT ,[NEP RED],Rome,Vespasian,Titus,0.011,0.372,23.59,0.008,0.002,0.36,0.011,0.0361,0.0192,0.00005,0.00005,0.0001,0.041,75.55,76.32,,,,,
BCC152,denarius,IMP CAES VESP AVG CEN ,SALVS AVG,Rome,Vespasian,Vespasian,0.003,0.411,22.56,0.003,0.002,0.45,0.008,0.0011,0.0009,0.00004,0.00005,0.0001,0.023,76.54,77.42,,,,,
BCC153,denarius,IMP CAESAR VESPASIA[NVS AVG],"PON MAX TR P COS V, Vesp seated",Rome,Vespasian,Vespasian,0.006,0.4,16.09,0.003,0.001,0.5,0.014,0.0011,0.0001,0.00005,0.00005,0.0001,0.01,82.98,83.88,,,,,
BCC154,denarius,IMP CAESAR VESPA[SIANVS AVG],PON MAX [TR P COS V],Rome,Vespasian,Vespasian,0.003,0.485,13.85,0.004,0.001,0.44,0.019,0.0013,0.0001,0.00005,0.00006,0.0001,0.04,85.16,86.13,,,,,
BCC155,denarius,T CAESAR IMP VESP[ASIAN],"PONTIF TR POT COS III, Caduceus",Rome,Vespasian,Titus,0.007,0.396,22.82,0.003,0.001,0.44,0.017,0.0012,0.0001,0.00001,0.00005,0.0001,0.01,76.3,77.15,,,,,
BCC156,denarius,IMP CAESAR VESPASIANVS AVG,"PON MAX TR P COS VI, Securitas seated",Rome,Vespasian,Vespasian,0.008,0.337,21.94,0.007,0.003,0.37,0.016,0.0011,0.0005,0.00007,0.00055,0.0001,0.003,77.31,78.03,,,,,
BCC157,denarius,IMP CAESAR VESPASIANVS AVG,COS VII Cow r.,Rome,Vespasian,Vespasian,0.007,0.378,24.35,0.006,0.003,0.54,0.016,0.0015,0.0016,0.00007,0.00005,0.0001,0.023,74.68,75.62,,,,,
BCC158,denarius,IMP CAESAR VESPASIANVS [AVG],"COS VII, eagle, head left.",Rome,Vespasian,Vespasian,0.003,0.371,22.57,0.007,0.002,0.93,0.014,0.0012,0.0004,0.00002,0.00005,0.0001,0.043,76.06,77.4,,,,,
BCC159,denarius,IMP CAESAR VESPASIANVS AVG,"COS VIII, Mars, corn ear.",Rome,Vespasian,Vespasian,0.013,0.503,16.87,0.03,0.002,0.29,0.012,0.0027,0.0006,0.00027,0.00005,0.0004,0.016,82.26,83.07,,,,,
BCC16,denarius,(CAES)AR AVG F DOMITIANVS,"COS V, Wolf and twins.",Rome,Vespasian,Domitian,0.002,0.486,21.81,0.014,0.002,0.7,0.007,0.015,0.0096,0.00011,0.00004,0.0001,0.008,76.95,78.14,,,,,
BCC160,denarius,[IMP] CAESAR VESPASIANVS AVG ,"COS VIII, pair of oxen.",Rome,Vespasian,Vespasian,0.002,0.388,22.46,0.014,0.001,0.44,0.005,0.0118,0.0021,0.00009,0.00004,0.0001,0.011,76.67,77.51,,,,,
BCC161,denarius,[IM]P CAESAR VESPASIANVS AV[G] ,"COS VIII, pair of oxen.",Rome,Vespasian,Vespasian,0.003,0.234,24.16,0.019,0.002,0.52,0.007,0.0142,0.0024,0.00012,0.00005,0.0001,0.021,75.02,75.79,,,,,
