REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
A7,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r.","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, l. Yr..19.",Alexandria,Tiberius,<null>,<null>,13.35,Ashmolean Museum,,-1,,0.085,0.08,71.70,0.003,0.0226,0.21,0.010,0.0035,0.0003,0.0001,0.0001,0.0154,27.87,0.001,28.16,,
A8,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r.","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. ",Alexandria,Tiberius,<null>,<null>,13.86,Ashmolean Museum,,,,0.016,0.16,75.43,0.008,0.0084,0.23,0.012,0.0012,0.0001,0.0001,0.0001,0.0003,24.14,0.001,24.52,,
A9,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r.","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. ",Alexandria,Tiberius,<null>,<null>,13.57,Ashmolean Museum,,,,0.012,0.17,74.10,0.004,0.0068,0.18,0.028,0.0012,0.0001,0.0001,0.0001,0.0001,25.50,0.001,25.85,,
KB4,Drachm,"C CAESAR AVG GERMANICVS, hd., r.","IMPERATOR PONT MAX TR POT, simpulum and lituus..",Caesarea,Caligula,<null>,<null>,,Private,MGH,,,0.009,0.59,12.20,0.002,0.0004,0.38,0.003,0.0020,0.0002,0.0002,0.0002,0.0002,86.81,0.001,87.78,,
A10,Drachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. Hd., r.","ΘΕΟΥ ΣΕΒΑΣΤΟΣ ΥΙΟΣ, Mount Argaeus, surmounted by radiate and naked statue, holding globe and sceptre.",Caesarea,Tiberius,<null>,<null>,3.62,Ashmolean Museum,,-1,,0.015,0.46,31.70,0.008,0.0047,0.20,0.079,0.0782,0.0009,0.0003,0.0006,0.0003,67.45,0.001,68.11,,
A11,Drachm,"TI CAES AVG P M TR P XXXIV, laur. hd., r.","DRVSVS CAES TI AVG F COS TR P IT, bare hd. of Drusus, l.",Caesarea,Tiberius,<null>,<null>,3.35,Ashmolean Museum,,-1,,0.011,0.84,27.50,0.004,0.0026,0.14,0.005,0.0012,0.0001,0.0001,0.0002,0.0001,71.50,0.001,72.48,,
A12,Drachm,"C CAESAR AVG GERMANICVS, hd., r.","IMPERATOR PONT MAX TR POT, simpulum and lituus.",Caesarea,Caligula,<null>,<null>,3.70,Ashmolean Museum,,-1,,0.011,0.58,28.49,0.005,0.0021,0.27,0.070,0.0018,0.0005,0.0003,0.0004,0.0005,70.56,0.001,71.41,,
A14,Didrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA, laur. hd., l.","DIVOS CLAVD AVGVST GERMANIC PATER AVG, laur. hd. of Claudius, r.",Caesarea,Nero,<null>,<null>,7.37,Ashmolean Museum,,-1,"Later group, legends ending GERMA.",0.022,0.50,28.16,0.002,0.0027,0.11,0.027,0.0012,0.0001,0.0001,0.0001,0.0001,71.15,0.027,71.78,,
A15,Drachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA, laur. hd., l.","DIVOS CLAVD AVGVST GERMANIC PATER AVG, laur. hd. of Claudius, r.",Caesarea,Nero,<null>,<null>,3.63,Ashmolean Museum,,,"Later group, legends ending GERMA.",0.022,0.33,36.88,0.002,0.0128,0.60,0.043,0.0139,0.0002,0.0001,0.0001,0.0003,62.07,0.033,63.03,,
A16,Drachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA, laur. hd., r.","ET IA, Mount Argaeus surmounted by naked and radiate figure, holding globe and sceptre.",Caesarea,Nero,<null>,<null>,3.12,Ashmolean Museum,,-1,Walker: 76% AR.,0.017,0.32,33.84,0.002,0.0120,0.58,0.038,0.0751,0.0003,0.0001,0.0001,0.0003,65.08,0.035,66.01,,
E2,Didrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA, laur. hd., l.","DIVOS CLAVD AVGVST GERMANIC PATER AVG, laur. hd. of Claudius, r.",Caesarea,Nero,<null>,<null>,6.70,bought,,,Later group.,0.014,0.44,26.19,0.002,0.0033,0.17,0.028,0.0012,0.0001,0.0001,0.0001,0.0002,73.13,0.029,73.77,,
A35,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","TΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΙΕ: below eagle Phoenician letter, Yr. 115.",Tyre,Hellenistic,<null>,<null>,13.40,Ashmolean Museum,,-1,,0.007,0.42,2.91,0.005,0.0009,0.54,0.002,0.0098,0.0003,0.0001,0.0003,0.1080,95.98,0.026,96.95,,
A36,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΜΔ: below eagle Phoenician letter, Yr. 144.",Tyre,Hellenistic,<null>,<null>,13.63,Ashmolean Museum,,,,0.005,0.79,2.81,0.002,0.0002,0.39,0.004,0.0012,0.0001,0.0001,0.0001,0.0002,95.96,0.040,97.18,,
A37,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΙΖ: below eagle Phoenician letter, Yr. 117.",Tyre,Hellenistic,<null>,<null>,13.03,Ashmolean Museum,,-1,,0.002,0.41,2.29,0.002,0.0005,0.59,0.003,0.0012,0.0009,0.0001,0.0003,0.0924,96.59,0.027,97.61,,
A38,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΞΑ: below eagle Phoenician letter, Yr. 161.",Tyre,Hellenistic,<null>,<null>,14.20,Ashmolean Museum,,,,0.005,0.74,2.73,0.008,0.0000,0.39,0.015,0.0012,0.0008,0.0001,0.0088,0.2721,95.79,0.034,96.96,,
