Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
10_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,15.63,0.12,48.36,154.63,943.71,464944.18,50.28,538.57,455.94,712.39,0.42,15.58,0.27,3.3,0.69,8.46,0.05,0.8,1.62,10.82,0.25,1.22,0.16,0.43,12.94,0.88,1.51,0.09,0.05,0.02,0,0.05,0.01,6.54,0.84,0.95,0.23,0.87,0.16,0.04,0.16,0.02,0.11,0.03,0.06,0.01,0.02,0,0.04,0.01,0.24,0.07,0.05
11_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,11.5,0.09,44.77,262.87,1077.11,465010.94,70.91,438.2,387.82,515.24,0.44,18.47,0.29,3.45,1.01,11.59,0.11,0.36,0.53,8.93,0.34,0.85,<0.10,0.45,13.22,0.95,1.74,0.07,<0.01,<0.02,<0.00,0.04,0.02,8.04,0.92,1.01,0.23,0.98,0.18,0.04,0.18,0.02,0.13,0.03,0.06,0.01,0.04,0.01,0.05,0,0.07,0.08,0.04
12_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,20.05,0.06,44.88,42.7,620.21,465295.41,104.47,372.66,363.71,957.89,0.76,19.89,0.55,3.25,1.21,87.99,0.21,1.68,1.53,11.98,0.25,1.71,0.13,0.43,8.52,0.87,0.93,0.1,0.02,<0.02,<0.00,0.05,0.01,3.13,0.9,1.08,0.26,0.84,0.15,0.04,0.19,0.02,0.14,0.02,0.07,0.01,0.06,0,0.02,0.01,0.46,0.05,0.05
13_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,11.16,<0.73,47.06,162.42,1143.19,402596.61,56367.93,1075.89,547.55,2174.3,<0.43,42.3,0.67,152.42,4.84,145.34,0.3,2.45,5.02,17.15,0.35,2.13,<0.84,0.76,13.16,0.97,2,0.1,0.29,<0.18,<0.01,0.78,0.04,8.74,0.93,0.95,0.21,0.75,0.13,0.04,0.25,0.02,0.09,0.03,0.05,0,0.03,<0.00,0.08,<0.00,0.64,0.05,0.03
14_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,17.71,0.32,48.26,33.52,547.22,465027.11,44.44,464.78,278.25,1551.63,0.71,11.18,0.27,2.56,1.73,25.38,0.05,0.8,0.55,9.8,0.41,1.41,<0.12,0.28,9.9,0.9,0.9,0.08,0.04,0.1,0,0.09,0.01,2.74,0.97,1.09,0.27,1,0.17,0.04,0.19,0.02,0.15,0.03,0.05,0.01,0.05,0.01,0.02,0.01,0.59,0.06,0.09
15_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,17.27,<0.06,47.89,112.27,925.56,465048.1,59.39,496.86,346.89,763.47,0.55,14.75,0.31,3.2,0.86,30.5,0.06,1.04,0.53,9.56,0.23,1.27,<0.11,0.42,11.17,0.91,1.68,0.08,0.02,<0.03,0,0.04,0.01,7.4,0.84,0.92,0.24,0.89,0.19,0.04,0.17,0.02,0.11,0.02,0.06,0.01,0.05,0,0.04,0.01,0.11,0.09,0.04
16_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,14.32,0.16,41.79,194.11,1168.05,462663.07,2038.08,458.82,400.01,765.59,0.43,28.88,0.57,8.81,0.81,21.87,0.12,0.47,0.68,10.55,0.44,0.7,<0.13,0.53,14.46,1.17,2.09,0.15,0.03,<0.03,<0.00,0.09,0.02,8.03,1.12,1.2,0.31,1.16,0.22,0.05,0.23,0.03,0.17,0.03,0.08,0.01,0.04,0.01,0.05,0.01,0.19,0.11,0.03
17_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,16.02,<0.03,48.06,61.27,785.43,465237.69,43.21,549.56,308.25,678.31,0.57,36.46,0.21,3.62,0.6,17.41,0.04,0.55,0.63,10.72,0.29,1.52,<0.12,0.35,9.93,0.81,1.85,0.15,0.02,<0.03,0,0.07,0.01,5.57,0.76,0.85,0.19,0.76,0.16,0.03,0.12,0.02,0.12,0.02,0.06,0.01,0.04,0.01,0.04,0.01,0.18,0.06,0.07
18_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,19.56,0.15,42.81,87.03,1141.48,464689.32,268.44,437.2,506.68,671.49,0.54,15.23,0.31,2.76,0.84,38.21,0.09,1.37,1.33,12.81,0.28,0.8,<0.11,0.63,13.48,0.83,2.07,0.07,0.04,<0.05,0.01,0.05,0.01,7.7,0.82,0.96,0.23,0.84,0.15,0.03,0.19,0.02,0.12,0.02,0.05,0.01,0.03,0,0.04,0,0.31,0.07,0.03
23_FH2_1_1,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_1,24.65,0.15,47.34,109.06,708.96,464743.88,98.18,494.03,315.04,1469.53,0.69,21.73,0.5,3.72,1.69,33.57,0.06,0.96,1.02,10.99,0.38,1.83,0.13,0.42,11.89,0.77,2.18,0.12,0.03,0.11,0.01,0.07,0.02,4.65,0.73,0.9,0.2,0.71,0.1,0.04,0.17,0.02,0.09,0.02,0.06,0.01,0.03,0.01,0.05,0.01,0.21,0.09,0.11
