,features,rfe ranking
0,Li7,1
37,Nd146,1
36,Pr141,1
33,Ba137,1
24,Sr88,1
21,Ge72,1
13,Cr52,1
10,Sc45,1
26,Zr90,1
52,U238,1
7,S33,1
8,K39,1
2,B11,1
4,Al27,1
3,Mg24,1
12,V51,2
6,P31,3
14,Mn55,4
29,Cd111,5
34,La139,6
27,Nb93,7
20,Ga69,8
18,Cu63,9
23,Rb85,10
15,Fe56,11
5,Si28,12
35,Ce140,13
11,Ti47,14
22,As75,15
40,Gd157,16
38,Sm147,17
46,Yb172,18
19,Zn68,19
1,Be9,20
17,Ni60,21
50,Pb208,22
16,Co59,23
25,Y89,24
48,Hf178,25
42,Dy163,26
28,Mo95,27
39,Eu153,28
44,Er166,29
41,Tb159,30
43,Ho165,31
9,Ca42,32
47,Lu175,33
31,Sn118,34
49,Ta181,35
51,Th232,36
30,In115,37
45,Tm169,38
32,Cs133,39
