,train_sizes,train_or_test_data,k_fold_stratified_scores
0,55,train_score,1.0
1,55,train_score,1.0
2,55,train_score,1.0
3,55,train_score,1.0
4,55,train_score,1.0
100,55,test_scores,0.3582882468161974
101,55,test_scores,0.3874023841847752
102,55,test_scores,0.4166373822256175
103,55,test_scores,0.4788008956785135
104,55,test_scores,0.3341753582930054
105,81,test_scores,0.4001193624435616
106,81,test_scores,0.4825234511739702
107,81,test_scores,0.5520063012323074
109,81,test_scores,0.38932357781462645
9,81,train_score,1.0
8,81,train_score,1.0
7,81,train_score,1.0
6,81,train_score,1.0
5,81,train_score,1.0
108,81,test_scores,0.6183762474510849
114,107,test_scores,0.4902287792945233
110,107,test_scores,0.46619996209096554
113,107,test_scores,0.625421637186343
111,107,test_scores,0.6850171056564919
112,107,test_scores,0.5652940081374931
11,107,train_score,1.0
12,107,train_score,1.0
13,107,train_score,1.0
14,107,train_score,1.0
10,107,train_score,1.0
115,133,test_scores,0.6022708462629178
118,133,test_scores,0.7206671724777463
119,133,test_scores,0.5681644229598194
116,133,test_scores,0.7103023178691295
17,133,train_score,1.0
18,133,train_score,1.0
19,133,train_score,1.0
117,133,test_scores,0.5815367590886622
16,133,train_score,1.0
15,133,train_score,1.0
20,159,train_score,1.0
21,159,train_score,1.0
22,159,train_score,1.0
121,159,test_scores,0.7470070158333408
122,159,test_scores,0.603662431086457
123,159,test_scores,0.6876410612790647
124,159,test_scores,0.57788118732795
24,159,train_score,1.0
120,159,test_scores,0.6970729570427172
23,159,train_score,1.0
125,185,test_scores,0.7549155107258643
126,185,test_scores,0.7174161693907704
127,185,test_scores,0.5628258920652977
128,185,test_scores,0.7242723918835827
129,185,test_scores,0.6312360903961389
25,185,train_score,1.0
28,185,train_score,1.0
26,185,train_score,1.0
27,185,train_score,1.0
29,185,train_score,1.0
132,211,test_scores,0.6724957914796135
131,211,test_scores,0.7139208952698641
130,211,test_scores,0.7573173709356231
134,211,test_scores,0.6377339047507116
30,211,train_score,1.0
133,211,test_scores,0.7682748108444704
32,211,train_score,1.0
33,211,train_score,1.0
34,211,train_score,1.0
31,211,train_score,1.0
35,237,train_score,1.0
36,237,train_score,1.0
37,237,train_score,1.0
38,237,train_score,1.0
139,237,test_scores,0.6071084343681188
138,237,test_scores,0.7585540351662479
137,237,test_scores,0.7122585081604889
136,237,test_scores,0.7214746941280108
135,237,test_scores,0.795671492503518
39,237,train_score,1.0
144,263,test_scores,0.6148834748020333
141,263,test_scores,0.783666844169134
140,263,test_scores,0.8173104979196131
44,263,train_score,1.0
43,263,train_score,1.0
42,263,train_score,1.0
40,263,train_score,1.0
41,263,train_score,1.0
143,263,test_scores,0.766190052749482
142,263,test_scores,0.6872230734123318
149,289,test_scores,0.621833444198491
147,289,test_scores,0.7780662295072794
48,289,train_score,1.0
146,289,test_scores,0.7562943633126471
145,289,test_scores,0.7996817973907758
45,289,train_score,1.0
46,289,train_score,1.0
47,289,train_score,1.0
148,289,test_scores,0.747713809350638
49,289,train_score,1.0
54,315,train_score,1.0
51,315,train_score,1.0
52,315,train_score,1.0
53,315,train_score,1.0
154,315,test_scores,0.7157642503641772
153,315,test_scores,0.7353902427469997
