,tsne1,tsne2,inlierLabel
0,4.9735703,18.074112,-1
1,-1.7061709,22.413937,-1
2,-0.71926963,21.627264,1
3,4.201146,14.070896,-1
4,4.1549625,14.075317,1
5,2.7337253,21.700195,-1
6,1.8938347,-13.812644,-1
7,-0.99687433,9.553264,-1
8,2.9405158,-13.016026,-1
9,13.051738,8.741381,-1
10,-1.7967722,24.324944,-1
11,-1.7581997,24.228071,-1
12,3.5050766,18.505154,-1
13,4.15912,18.468557,-1
14,1.7589704,19.404198,1
15,-2.3627844,21.173943,-1
16,-3.2973657,23.038685,-1
17,-4.393235,22.636986,-1
18,0.9702915,21.958612,-1
19,1.5074193,21.250647,-1
20,1.7467346,22.04771,-1
21,0.79175246,21.294773,1
22,0.31102166,20.935158,1
23,0.08584377,22.180122,-1
24,-4.3137197,25.570934,-1
25,-3.0820847,18.241611,1
26,-5.975604,23.200846,-1
27,9.184766,15.914763,-1
28,8.706768,15.89672,-1
29,-0.8329183,16.370188,1
30,0.31405133,23.570658,-1
31,-4.7083454,23.505651,-1
32,-6.485336,24.669447,-1
33,-4.933765,21.801172,-1
34,-4.954071,21.58129,-1
35,-5.4356303,21.44797,-1
36,-9.022163,16.973726,1
37,-8.407194,19.718418,-1
38,-8.69467,19.59157,-1
39,-8.649367,18.21181,1
40,-6.769996,22.540321,-1
41,-7.832859,23.830229,-1
42,-9.076737,23.360643,-1
43,-9.297594,23.251646,-1
44,-4.57623,20.73758,1
45,23.244587,-18.052475,1
46,23.4093,-16.759146,1
47,22.306465,-15.54851,1
48,16.765972,-11.335206,-1
49,23.503283,-25.400541,-1
50,25.596706,-19.899342,-1
51,25.526789,-11.268112,-1
52,24.930597,-22.135984,-1
53,-10.482877,13.040353,-1
54,20.758684,-13.67699,1
55,13.817342,-15.113542,-1
56,19.060648,-14.1808405,1
57,13.825366,-15.101717,1
58,18.682251,-11.423246,1
59,15.593174,-15.639051,-1
60,20.871107,-12.274655,1
61,14.473544,-15.028644,1
62,21.578108,-13.346996,1
63,21.149946,-14.507341,1
64,17.716642,-9.3033905,1
65,16.28669,-13.654971,1
66,17.137259,-13.910694,1
67,18.57892,-13.548778,1
68,17.710863,-12.580859,1
69,18.407999,-13.13177,1
70,20.185413,-14.845442,-1
71,18.438404,-15.167362,1
72,18.987097,-15.533834,1
73,-23.633945,-0.76732326,1
74,-23.46381,-1.4689399,1
75,-23.471216,-1.3208325,1
76,27.079689,-13.034534,1
77,5.9691343,-15.638352,1
78,6.1781936,-15.249641,1
79,-4.517213,14.979772,1
80,-3.6265497,15.23939,1
81,-3.4481676,16.326448,1
82,23.971016,-22.067543,-1
83,14.726629,-9.558822,1
84,14.966502,-9.448319,1
85,16.207207,-17.279291,1
86,15.804726,-4.011832,1
87,-4.320437,9.29953,1
88,24.304703,-10.083739,1
89,24.17279,-9.573632,-1
90,23.310598,-10.863337,1
91,23.326597,-14.364914,1
92,23.360405,-13.690984,1
93,26.068354,-16.109526,1
94,25.708092,-16.780706,1
95,9.442758,-8.441817,1
96,9.779105,-12.054106,1
97,23.461567,-12.987033,1
98,22.47034,-12.962071,1
99,22.717508,-14.648938,1
100,8.731513,-12.884476,1
101,9.01621,-14.022349,1
102,8.661433,-8.855144,1
103,17.437044,-15.655334,1
104,18.700802,-17.099365,1
105,18.140991,-16.420015,1
106,-10.4380665,10.111251,1
107,21.716454,-25.271112,-1
108,-17.004517,2.7484653,1
109,19.882545,-18.363373,-1
110,21.35641,-20.0374,-1
111,18.449987,-19.3828,1
112,7.83191,-17.256464,1
113,8.605105,-16.571716,1
114,6.8451123,-16.143562,1
115,15.935174,-20.871252,-1
116,16.634441,-18.553915,1
117,15.1257305,-18.309443,1
118,15.805565,-18.4051,1
119,15.6147995,-21.274801,-1
120,16.769955,-18.66218,1
121,16.80929,-1.2131915,-1
122,6.519586,-13.05826,1
123,14.78665,-12.873767,1
124,15.614485,-2.9929771,-1
