,S33,U238,Cr52,B11,Mg24,Ge72,Ba137,Sr88,Al27,Nd146,Li7,Sc45,Pr141,K39,Zr90
round1,0.11674272430183098,0.09094391925984573,0.0900247961325668,0.08060983856232802,0.07676475352845137,0.0744638443280827,0.06402810273310655,0.06038795402296159,0.058400691152005926,0.05591302438474472,0.051657500310258876,0.04963641117019609,0.04647378124731702,0.04419961867945209,0.03975304018685162
round2,0.1127754998631113,0.09109087962913982,0.0860027994192166,0.07924038530056952,0.07622822779098512,0.07210748877447473,0.06989684949735249,0.0626694035558298,0.060086732103959095,0.05562180850112354,0.04984046697752529,0.04856665369958245,0.04979650189829512,0.04702598291563129,0.03905032007320381
round3,0.11365795604906857,0.09257758379342858,0.08768359013468761,0.07972633991293385,0.07534776571678913,0.07235560906676852,0.06117741391656057,0.06278584448387406,0.060126100950677976,0.05510063041956445,0.05315767210529222,0.04862659204151052,0.047644096669283674,0.049057432518794346,0.040975372220765825
round4,0.1111864513581868,0.09474369966074395,0.08908612857834405,0.08044886250220834,0.07133541187221576,0.07050695160502458,0.06423038664584187,0.06212788897150936,0.05839408558033814,0.05827519237171989,0.05092911821949032,0.05184364909949617,0.05006075224740618,0.04523704024911399,0.04159438103836068
round5,0.1137411897427489,0.09845645876736835,0.0862439612805134,0.08126487833163235,0.07438471041417861,0.06915961671349194,0.06707051466654129,0.06417888381172535,0.059219972994896,0.05290983716311114,0.04966051077002246,0.05012871511940394,0.04901570251093258,0.04431528409506511,0.040249763618368475
round6,0.1105035816767855,0.09319518311406326,0.08809983990375934,0.07794545157878338,0.07551334157155978,0.06875571324570502,0.06568939690229367,0.06736761506966786,0.06038635021136549,0.05143507128602069,0.050887993439442045,0.05373790172673341,0.048110612676490055,0.04751512324389879,0.040856824353431596
round7,0.11388628400479636,0.0833254362857717,0.08646432092520265,0.07909755848853645,0.07636753922144196,0.07026361360651426,0.06988012162372478,0.06769064378497734,0.05846224392339159,0.05336552941441231,0.05018528551057231,0.05216115804462487,0.054995101286097664,0.04680958134636585,0.03704558253356994
round8,0.115789864910038,0.09210781609813211,0.08134645075275988,0.07935218356014011,0.07219671448466242,0.07214480542006814,0.06436171735567224,0.0633472779009056,0.060013054010238924,0.0568482807082125,0.04998686895691014,0.04985225548196354,0.05130839503188507,0.04890261157510016,0.0424417037533114
round9,0.11672585612427826,0.08910853716245137,0.0818199703479272,0.08036306550795459,0.07162564259775879,0.07184497836332128,0.06688280944395711,0.06298549850517741,0.059514778382132955,0.05614232212938283,0.0507118825101624,0.05293128144349082,0.04971813198020722,0.050266566229152806,0.03935867927264513
round10,0.11572093558023354,0.09113480131401568,0.08794810100585729,0.07525091601540534,0.0717040656121638,0.07370315477321863,0.07047557239995815,0.0627900674950237,0.059872618546547164,0.050111532953433194,0.051793427381025825,0.04863824956095858,0.05157053947823245,0.04915706457804787,0.0401289533058788
