,Number of Features,F1 Score
0,1,0.16257792754405923
1,2,0.2538110034813003
2,3,0.3310410288431518
3,4,0.43758175017529094
4,5,0.46694456424139874
5,6,0.4899209664942228
6,7,0.5589390169726918
7,8,0.5339747902067881
8,9,0.5641788548947253
9,10,0.6000328125224272
10,11,0.5586806168676658
11,12,0.5339732883232376
12,13,0.561816709070354
13,14,0.5489358316026689
14,15,0.5811327964167688
15,16,0.5783673283188729
16,17,0.5766570248318796
17,18,0.5323266723778666
18,19,0.5588415959583644
19,20,0.5715762065077775
20,21,0.5421604203126108
21,22,0.5712378284665302
22,23,0.5730488737251379
23,24,0.5296557777645033
24,25,0.5471317552570819
25,26,0.5325944782048035
26,27,0.5199695509075385
27,28,0.5664302733711327
28,29,0.5311470082865687
29,30,0.5253469805137683
30,31,0.5497960069211982
31,32,0.5334746936078623
32,33,0.5129609326828118
33,34,0.5355107503096771
34,35,0.5589972161178537
35,36,0.5493420849372207
36,37,0.5032777543054441
37,38,0.5412520247700178
38,39,0.5579238736586022
39,40,0.5207244924998419
40,41,0.5218622564813474
41,42,0.5171504531175386
42,43,0.5146461000234402
43,44,0.5459748591568195
44,45,0.5149720226263264
45,46,0.5290992743930373
46,47,0.555931512514403
47,48,0.48382241326819875
48,49,0.5476175710735559
49,50,0.5629213797134789
50,51,0.5399217125604562
51,52,0.519487885126224
52,53,0.515221046228763
