,tsne1,tsne2,class
0,3.3396742,23.676142,AB
1,7.4158564,20.3804,AB
2,6.550661,20.279358,AB
3,-1.5589249,24.648825,AB
4,-1.5518444,24.644285,AB
5,4.242337,21.165813,AB
6,8.071103,11.16183,AB
7,2.2351067,15.798534,AB
8,2.110883,19.414642,AB
9,5.397211,25.232952,AB
10,7.3208084,24.34171,AB
11,7.3700867,24.218966,AB
12,0.36279386,21.670067,AB
13,2.2999077,21.483774,AB
14,2.4475787,21.666718,AB
15,7.754538,18.459145,AB
16,8.940758,18.355745,AB
17,8.822594,19.12239,AB
18,5.8907857,21.629206,LV
19,5.2872057,21.646397,LV
20,5.4383516,22.512823,LV
21,5.814399,20.771992,LV
22,5.157118,20.187538,LV
23,6.4747934,21.31398,LV
24,10.457011,9.33673,LV
25,13.250075,17.32902,LV
26,12.271911,16.302557,LV
27,7.2201095,15.429874,LV
28,7.2084837,15.320969,LV
29,7.450211,14.260564,LV
30,8.0212755,21.46787,LV
31,8.768634,20.44361,LV
32,9.690627,21.254805,LV
33,14.098436,18.057293,LV
34,11.554233,17.529587,LV
35,11.712553,17.273998,LV
36,12.422114,11.5846,LV
37,13.71647,15.822191,LV
38,14.403266,15.206404,LV
39,10.848581,13.183866,LV
40,11.821348,14.206835,LV
41,11.502562,15.553748,LV
42,12.497433,20.36702,LV
43,12.197492,20.112347,LV
44,10.811379,19.022604,LV
45,9.109145,-18.227182,SV_SE
46,8.670272,-17.895155,SV_SE
47,10.102633,-16.563059,SV_SE
48,0.9335732,-12.441205,SV_SE
49,9.493782,-8.49286,SV_SE
50,-6.5900598,-23.79462,SV_SE
51,1.577856,-21.787846,SV_SE
52,4.976194,-10.520142,SV_SE
53,1.6385866,13.390758,SV_SE
54,11.505444,-17.29265,SV_SE
55,6.816957,-14.999659,SV_SE
56,4.233191,-18.92759,SV_SE
57,6.492583,-14.999443,SV_SE
58,-2.4736667,-15.822831,SV_SE
59,4.517482,-15.822842,SV_SE
60,0.1668355,-15.267177,SV_SE
61,5.6152897,-15.187949,SV_SE
62,10.373552,-18.083424,SV_SE
63,11.072318,-16.496267,SV_SE
64,-1.4555193,-19.843061,SV_SE
65,4.765702,-13.468133,SV_SE
66,3.6293232,-13.810063,SV_SE
67,1.6570197,-14.0795965,SV_SE
68,1.3109823,-13.484846,SV_SE
69,0.6346205,-13.904534,SV_SE
70,11.388513,-15.387821,SV_SE
71,10.785319,-13.829864,SV_SE
72,1.8826133,-14.878151,SV_SE
73,-16.135504,-2.614567,BA
74,-22.502335,-7.3039684,BA
75,-22.303253,-7.570402,BA
76,13.943979,-21.455078,BA
77,14.575737,-23.828228,BA
78,12.987464,-22.20208,BA
79,4.6877413,17.352776,BA
80,4.5001144,17.012844,BA
81,5.0882297,18.000305,BA
82,5.0423064,-11.0670185,BA
83,-4.7461305,-16.553291,BA
84,-4.6996045,-16.655764,BA
85,12.66913,-14.098846,BA
86,9.226802,-16.248413,BA
87,3.1052454,-19.089334,BA
88,-1.9664922,-20.51799,BA
89,-3.0222795,-18.031984,BA
90,-3.7637045,-17.179707,BA
91,-23.749119,2.2737594,BA
92,15.97625,-18.808817,BA
93,14.146371,-19.355545,BA
94,12.181352,-20.599674,BA
95,10.2338085,-23.50953,BA
96,9.902446,-22.062687,BA
97,15.409605,-19.736042,BA
98,14.704213,-18.543821,BA
99,15.154632,-17.947481,BA
100,12.007685,-24.80066,BA
101,12.368554,-25.745445,BA
102,11.691358,-24.024715,BA
103,3.929069,-17.563517,BA
104,0.8858154,-19.710375,BA
105,2.5360467,-20.05982,BA
106,-7.017906,3.0900674,BA
107,8.192249,-6.784646,BA
108,-11.722831,-5.4497805,BA
109,-24.211657,2.2017999,BA
110,8.936535,-14.280539,BA
111,9.915005,-15.461176,BA
112,10.131844,-26.171707,BA
113,10.60696,-25.033485,BA
114,10.921644,-26.830698,BA
115,15.315164,-13.307159,BA
116,14.458657,-14.15889,BA
117,13.563882,-13.098759,BA
118,15.10561,-14.832674,BA
119,-20.588942,11.962669,BA
120,14.583301,-13.84821,BA
121,6.843887,-26.859682,BA
122,3.77182,-23.399221,BA
123,6.5606775,-16.472565,BA
124,6.525697,-25.311672,BA
125,7.941371,-7.784025,BA
126,3.0915155,-21.57514,BA
127,2.5203724,-22.050226,BA
128,1.8386525,-23.497526,BA
129,5.4932146,-21.148474,BA
130,4.6284595,-20.623291,BA
131,17.17459,-17.17337,BA
132,15.139188,-24.033506,BA
133,10.138692,-22.877748,BA
134,12.419322,-23.672075,BA
135,5.8138185,-17.535461,BA
136,2.577651,-17.240564,BA
137,7.524942,-10.945852,BA
138,9.969376,-8.516635,BA
139,5.086239,-18.440166,BA
140,7.5788827,-11.421576,BA
141,12.625639,-25.784151,BA
142,7.160049,-25.959675,BA
143,8.886958,-24.04691,BA
144,13.594501,-16.09025,BA
145,13.245103,-17.17569,BA
146,13.482114,-17.21127,BA
147,-10.599835,14.759205,SV_SE
148,-9.767139,14.536339,SV_SE
149,-9.836506,14.574299,SV_SE
150,-11.738007,8.069614,SV_SE
151,-12.444659,8.604605,SV_SE
152,-6.280138,20.808311,SV_SE
153,-21.577316,-10.918169,SV_SE
154,-19.226109,-9.532231,SV_SE
155,-19.259325,-9.031215,SV_SE
156,-23.480587,-10.096162,SV_SE
157,-12.206397,2.4731383,SV_SE
158,10.892326,5.726735,SV_SE
159,-12.555173,4.8824244,SV_SE
160,-12.455635,4.6012764,SV_SE
161,-14.32069,5.1790075,SV_SE
162,-12.038562,6.694642,SV_SE
163,4.0462823,-4.7644043,SV_SE
164,-13.705592,5.577389,SV_SE
165,-10.305764,9.7718525,SV_SE
166,-5.2709703,-11.098299,SV_SE
167,-11.1174755,9.530574,SV_SE
168,-12.199904,1.0954591,SV_SE
169,-13.825162,0.8074373,SV_SE
170,-11.231012,8.280958,SV_SE
171,-18.528072,-8.821142,SV_SE
172,-19.749752,-10.380508,SV_SE
173,-18.20665,-9.440385,SV_SE
174,-13.746376,16.395155,SV_SE
175,-14.603322,6.5147495,SV_SE
176,-13.741647,16.393137,SV_SE
177,0.94192785,0.29069784,SV_SE
178,-8.814319,-7.39957,SV_SE
179,-9.777401,-7.773335,SV_SE
180,2.1609373,8.663387,SV_SE
181,2.7521384,7.809853,SV_SE
182,2.2012937,7.3063154,SV_SE
183,-9.858959,-18.331495,SV_SE
184,-16.419083,-10.829931,SV_SE
185,-2.683078,3.8650634,SV_SE
186,0.35771322,7.7888403,SV_SE
187,-4.5618353,4.5872984,SV_SE
188,-3.5846338,4.1317625,SV_SE
189,-19.208656,-5.3785095,SV_SE
190,-3.2903697,2.7609391,SV_SE
191,-15.344771,-9.600069,SV_SE
192,-3.5024183,-12.436204,SV_SE
193,6.505273,-9.638342,SV_SE
194,-23.537569,-3.4999335,SV_SE
195,13.826914,-2.9019327,SV_SE
196,13.065823,-3.1767778,SV_SE
197,13.549045,-2.753475,SV_SE
198,-14.204474,9.592884,SV_SE
199,-7.624217,15.419872,SV_SE
200,-7.8944354,15.462801,SV_SE
201,-11.121765,-1.2665071,SV_SE
202,-8.009562,9.878945,SV_SE
203,-8.491685,9.688476,SV_SE
204,-12.244838,10.148783,SV_SE
205,-12.773106,-1.6138707,SV_SE
206,-9.490697,9.924363,SV_SE
207,-19.605986,-12.312243,SV_SE
208,-16.865334,1.4516872,SV_SE
209,-16.901909,1.4013004,SV_SE
210,-18.793112,-2.6904283,SV_SE
211,-8.1387,12.359907,SV_SE
212,-7.8894296,12.578172,SV_SE
213,18.577904,9.356289,SV_SE
214,18.130606,9.313522,SV_SE
215,18.677969,9.362786,SV_SE
216,-17.247921,-16.337458,SV_SE
217,-1.4827206,-2.0582178,SV_SE
218,-17.101463,-16.589403,SV_SE
219,-9.268358,8.058349,SV_SE
220,-8.905401,7.8612967,SV_SE
221,-9.068432,3.6346333,SV_SE
222,6.0948634,9.569818,SV_SE
223,-2.3300507,-0.87376666,SV_SE
224,-0.88174987,-1.4765166,SV_SE
225,4.5268292,13.259094,SV_SE
226,4.8556294,12.375257,SV_SE
227,4.09076,13.742846,SV_SE
228,3.5461488,1.5112957,SV_SE
229,-10.486981,-8.882343,SV_SE
230,5.5467157,1.8344375,SV_SE
231,-5.2038035,2.946983,SV_SE
232,3.8123605,14.470628,SV_SE
233,0.74530107,5.698429,SV_SE
234,-3.7694433,-0.55412865,SV_SE
235,4.0354066,0.6681075,SV_SE
236,-4.740235,-0.62389207,SV_SE
237,-3.4931567,14.862563,SV_SE
238,7.824617,-3.9521384,SV_SE
239,-3.3501632,14.886551,SV_SE
240,-6.7818675,6.028583,SV_SE
241,-6.437726,6.542516,SV_SE
242,4.88053,8.377904,SV_SE
243,-3.8828933,14.322793,SV_SE
244,-21.243637,-9.3820095,SV_SE
245,-12.243576,-9.5137205,SV_SE
246,14.054112,3.0511503,SV_SE
247,12.692589,2.6131377,SV_SE
248,14.769343,3.087777,SV_SE
249,-1.3897456,16.697596,SV_SE
250,-1.1585785,17.633602,SV_SE
251,-1.2661852,17.216005,SV_SE
252,12.094924,2.0634942,SV_SE
253,9.366913,1.9768543,SV_SE
254,13.551626,2.6786542,SV_SE
255,-20.922132,-13.32564,SV_SE
256,-21.66823,-12.325427,SV_SE
257,-17.802673,-10.613651,SV_SE
258,-7.2669535,-3.9037058,SV_SE
259,-13.267592,-12.628704,SV_SE
260,7.9030905,-2.3689315,SV_SE
261,-12.760727,-7.9809513,SV_SE
262,-13.428167,-9.152699,SV_SE
263,-13.843491,-8.141556,SV_SE
264,-10.03746,-5.0502725,SV_SE
265,-9.449547,-4.7146916,SV_SE
266,-17.173946,-12.917144,SV_SE
267,-7.9726963,-21.94091,WA
268,-3.159874,1.4202029,WA
269,-7.9717565,-1.3498708,WA
270,-1.0609415,7.890242,WA
271,-1.4093555,8.915825,WA
272,7.773209,-3.2822666,WA
273,-14.69307,-7.0004687,WA
274,-13.552398,-6.717853,WA
275,-12.895176,-6.063984,WA
276,-1.691911,6.7154255,WA
277,-2.5428956,6.2630157,WA
278,-2.0410776,7.156665,WA
279,-3.888214,-11.012596,WA
280,-3.024419,-11.246125,WA
281,-4.033352,-11.096686,WA
282,-0.09848475,-9.246728,WA
283,0.6696968,-9.480767,WA
284,0.7404085,-7.6900415,WA
285,-22.735323,-11.528432,WA
286,-16.866524,-6.197342,WA
287,-23.084076,-12.064164,WA
288,10.453454,1.2945118,WA
289,-7.1031528,-6.1022124,WA
290,17.663597,-5.469553,WA
291,-0.0303248,10.7984915,WA
292,0.37658936,11.777008,WA
293,-14.282404,-6.0006475,WA
294,11.647089,-19.585833,WA
295,12.438324,-22.035135,WA
296,11.181705,-20.902296,WA
297,-11.789467,-13.854792,WA
298,-22.839174,-13.900723,WA
299,-16.000397,-8.476048,WA
300,-1.7491107,1.4593662,WA
301,-1.4867092,2.1756537,WA
302,-0.68551606,2.478357,WA
303,0.054644916,14.07412,WA
304,-0.099834196,14.109223,WA
305,8.502404,-6.863248,WA
306,-8.525785,-2.305376,WA
307,-5.577283,1.2135453,WA
308,-1.1379356,-5.4883494,WA
309,0.008058867,2.1132216,WA
310,2.8501828,2.3532932,WA
311,2.4262178,2.9396188,WA
312,-8.92403,-19.453747,WA
313,-8.331346,-23.558353,WA
314,-2.9836705,-7.459641,WA
315,-19.415176,6.1300883,WA
