,tsne1,tsne2,inlierLabel
0,-8.2871,-3.327619,1
1,-8.637551,-3.8943777,-1
2,-9.214499,-4.4327693,-1
3,-25.218588,-10.045152,1
4,-27.045334,-7.151527,1
5,-27.197058,-6.9280553,1
6,5.3271933,-6.1226025,-1
7,4.566247,-4.7233267,-1
8,5.26881,-6.818911,1
9,1.6343282,5.2673507,1
10,1.9826374,4.383829,1
11,1.7000198,4.902145,1
12,-2.0537956,-1.8698531,-1
13,-2.0223148,-2.1106558,1
14,-2.1117346,-2.9407983,1
15,9.186779,-11.217116,-1
16,8.342302,-10.933942,1
17,7.857196,-9.9233885,1
18,10.023304,-10.128164,1
19,3.3854215,8.536156,-1
20,10.507418,-14.092357,-1
21,-2.1509728,3.927201,1
22,-1.8204238,4.6338367,1
23,-2.149941,5.656896,1
24,9.261444,-12.497808,1
25,8.016395,-8.524306,1
26,8.037198,-8.6721735,1
27,-3.411983,-15.024469,-1
28,-3.392155,-15.058794,-1
29,-3.0376842,6.7671223,-1
30,4.932435,4.8267374,1
31,0.58161986,-9.545227,1
32,0.5534559,-0.31105962,1
33,8.959454,-13.9916525,1
34,8.254999,-12.744344,1
35,12.515167,-10.146089,-1
36,-4.9785395,9.22839,-1
37,1.1658704,2.0997622,1
38,0.9750362,2.7988236,-1
39,10.396676,-12.406279,1
40,11.944734,-10.541644,-1
41,10.027028,-13.341535,-1
42,-0.35739997,-2.6637723,1
43,0.20798276,-2.0925064,1
44,0.75235415,-4.0123606,1
45,2.564747,1.3981122,1
46,2.9897182,1.6420078,1
47,-1.2917717,-7.6816206,1
48,0.9037523,-8.432986,1
49,1.1756767,1.0759532,1
50,0.43461862,0.2094233,-1
51,10.579538,-6.0380354,-1
52,-4.0180035,-8.721727,-1
53,10.456278,-6.4977856,-1
54,-16.924263,-8.606741,1
55,-23.006432,-4.8795085,1
56,-16.882679,-12.1656475,1
57,9.979321,-11.176147,-1
58,10.250134,-9.111687,-1
59,10.412049,-7.948567,-1
60,8.826345,-9.323038,1
61,3.4489179,8.438364,-1
62,8.0851965,-6.455853,1
63,-11.306898,-13.499249,1
64,-12.912479,-13.747108,-1
65,-21.276344,-4.478399,-1
66,-0.3151673,-10.209647,-1
67,13.846806,-11.90803,-1
68,-0.62514937,-10.871227,-1
69,23.357584,11.742578,-1
70,22.91424,12.279561,-1
71,23.164915,12.945708,-1
72,21.894558,11.822748,-1
73,17.817537,13.821396,-1
74,20.190025,11.32267,-1
75,6.4740577,-9.637076,1
76,5.9963083,-10.623935,1
77,8.425515,-12.274541,1
78,7.1686444,-11.413853,1
79,12.353175,-11.109344,-1
80,6.707185,-12.405313,1
81,5.9328094,-12.117516,1
82,1.7029094,-10.511415,-1
83,1.309666,-9.925242,1
84,3.183688,-7.5344257,1
85,2.789983,-7.235812,1
86,3.8074112,-7.795722,1
87,1.7046119,-6.373768,1
88,1.059147,-5.5845947,1
89,-4.3174977,-2.6253316,1
90,4.043092,1.643018,1
91,3.049099,0.83998317,1
92,2.277865,-0.31137472,1
93,-22.12547,-4.609505,1
94,-14.542729,-12.228438,-1
95,-12.366773,-13.287707,1
96,-24.350706,-7.708283,1
97,-25.485353,-3.0339518,1
98,-25.806265,-1.8675971,-1
99,7.2303753,-3.5375893,1
100,7.397697,-5.187367,1
101,7.3542314,-4.3433657,1
102,-5.020213,10.154677,-1
103,7.723148,-13.529434,1
104,7.865229,-3.4565437,1
105,3.8702233,3.538328,1
