,tsne1,tsne2,inlierLabel
0,-3.055922,6.589923,1
1,-3.5023594,7.1612988,-1
2,-3.7381883,7.9575295,-1
3,-22.568396,-1.3315617,1
4,-25.77371,-2.5428412,1
5,-25.855947,-2.7319562,1
6,7.408106,-12.916645,-1
7,6.9658976,-11.416689,-1
8,7.239093,-13.663582,1
9,5.956095,1.3615386,1
10,6.189181,0.40125525,1
11,5.9666834,0.9509507,1
12,0.82044595,-0.8785711,-1
13,0.81540334,-1.1907945,1
14,0.6202112,-2.1262865,1
15,8.56947,-16.228287,-1
16,10.095514,-16.584366,1
17,12.288371,-15.39548,1
18,11.025079,-16.281904,1
19,10.437914,-7.0837116,-1
20,10.754126,-19.725445,-1
21,0.66013426,0.8389716,1
22,1.4590439,0.9879869,1
23,1.7369887,2.2596529,1
24,10.615086,-17.811592,1
25,11.656343,-13.948858,1
26,11.703853,-14.083813,1
27,0.5089881,3.8883631,-1
28,0.61708647,3.8760278,-1
29,-0.67532015,10.954898,-1
30,10.18684,-2.756667,1
31,0.51474154,-13.595683,1
32,6.156364,-2.7279675,1
33,8.688191,-19.498884,1
34,9.153261,-18.0301,1
35,13.972534,-16.723375,-1
36,-3.8991373,-11.284871,-1
37,4.185773,-2.3865194,1
38,4.4567227,-1.5976772,-1
39,11.482947,-17.934809,1
40,13.677184,-17.455036,-1
41,10.941734,-18.867575,-1
42,-0.030257119,-5.5078454,1
43,0.66985273,-5.0993996,1
44,0.79641384,-6.7679706,1
45,5.5311313,-4.2623043,1
46,5.9282537,-4.508156,1
47,-0.0008804444,-10.628096,1
48,1.225447,-12.798518,1
49,6.7278733,-3.108286,1
50,5.992499,-2.3262663,-1
51,9.751618,-10.145617,-1
52,3.074666,-8.822153,-1
53,9.95115,-10.735931,-1
54,-15.378468,-2.971126,1
55,-22.556316,-7.8585434,1
56,-18.02932,-7.896779,1
57,9.050105,-16.766008,-1
58,10.018998,-15.341852,-1
59,10.30243,-12.342148,-1
60,11.199444,-14.870171,1
61,10.490416,-7.023647,-1
62,12.31165,-12.058928,1
63,-17.314068,-10.816145,1
64,-18.787485,-10.390725,-1
65,-20.467348,-9.16936,-1
66,-0.62619567,-13.536602,-1
67,14.728058,-19.249172,-1
68,-1.3534518,-13.714803,-1
69,20.22737,5.515817,-1
70,20.530582,6.177787,-1
71,21.24006,6.0216713,-1
72,20.088198,7.3299437,-1
73,17.729544,10.4374275,-1
74,19.003386,8.492186,-1
75,13.436865,-15.129197,1
76,13.73197,-14.138693,1
77,9.751956,-17.826862,1
78,12.577654,-16.90901,1
79,14.106013,-17.624357,-1
80,7.450318,-17.890905,1
81,7.572381,-18.62159,1
82,0.8134971,-15.083553,-1
83,1.0165871,-14.353764,1
84,4.859035,-14.201481,1
85,4.4407067,-13.825553,1
86,5.525595,-14.574236,1
87,3.815363,-12.275556,1
88,3.4778173,-11.244239,1
89,-1.9013015,-5.1042924,1
90,6.331806,-5.7452617,1
91,5.220976,-5.203017,1
