,class,Number of Observations,Mean F1 Score
0,CS,105,0.8103410040252145
1,PH,102,0.6957593739250085
2,LB,61,0.34017316017316024
3,FH,54,0.9050854700854701
4,WH,45,0.5259265734265736
5,WN,36,0.7115079365079364
6,BH,36,0.589047619047619
7,WW,36,0.8323809523809522
8,BM,30,0.2474747474747475
9,PF,30,0.7930952380952381
10,SL,30,0.7133333333333333
11,BC,30,0.6014285714285714
12,AR,30,0.4694871794871795
13,FG,27,0.7247619047619048
14,ER,27,0.6678571428571428
15,KQ,27,0.691904761904762
16,SQ,21,0.3411111111111111
17,TC,18,0.7404761904761904
