,tsne1,tsne2,inlierLabel
0,-9.713291,-0.3789904,1
1,-10.370214,-0.463285,1
2,-11.115916,-0.48281235,1
3,-2.449123,-24.63674,-1
4,-5.2248254,-26.395178,-1
5,-5.391869,-26.527681,-1
6,11.513925,3.1769505,-1
7,10.033948,3.5546076,-1
8,12.015915,2.625864,-1
9,5.957684,7.5783963,1
10,5.131571,7.118022,1
11,5.7036986,7.3211203,1
12,-2.086862,1.6344395,1
13,-1.8033785,1.6388266,1
14,-0.88378537,1.5737684,1
15,15.724965,2.513882,-1
16,16.721403,4.895922,-1
17,14.947452,7.3969517,-1
18,15.575056,4.527023,-1
19,7.7106094,10.764102,1
20,17.435778,1.9662938,-1
21,-0.4222684,3.2356749,1
22,-1.3793659,3.3306723,1
23,-2.5244937,3.7055235,-1
24,17.304148,3.8490741,-1
25,15.447397,5.812343,-1
26,15.208566,6.1014814,-1
27,-12.792519,1.880997,1
28,-12.811598,1.9520894,1
29,5.953114,-10.811977,1
30,3.4944036,9.439645,-1
31,9.568647,-4.1108074,-1
32,6.612048,4.515519,1
33,18.802475,2.1641278,1
34,18.169542,3.4988673,-1
35,17.769283,8.058059,-1
36,7.271853,1.6415066,1
37,4.1687045,3.382538,1
38,5.056978,3.2361572,1
39,16.593,3.7320197,-1
40,18.28652,8.005327,-1
41,17.169624,2.692963,-1
42,3.8532176,-1.6530564,1
43,2.9906592,-1.2363893,1
44,5.975636,-1.1438205,1
45,4.094354,5.424343,1
46,3.529527,5.559382,1
47,7.134763,-5.3424387,1
48,9.104277,-2.873208,1
49,5.0769305,4.657509,1
50,6.2273574,4.69041,1
51,10.728525,6.2131577,-1
52,4.504916,-3.5866604,-1
53,11.319257,6.1471877,-1
54,-2.1778245,-16.061504,-1
55,-7.64293,-21.858728,-1
56,0.24628322,-17.931831,-1
57,15.37422,3.2204285,-1
58,13.619514,5.0852895,1
59,12.753069,5.710908,1
60,14.414908,6.084495,-1
61,7.67037,10.716917,-1
62,13.352655,7.7506294,-1
63,-8.0205145,-18.017353,1
64,-9.072556,-18.802292,-1
65,-7.5904684,-20.068584,1
66,9.589538,-5.299561,1
67,14.109245,-2.7526507,1
68,9.913363,-5.958989,-1
69,-0.41120017,20.276577,-1
70,-0.97868615,20.707281,-1
71,-0.6603024,21.340393,-1
72,-2.171695,20.393429,-1
73,-3.2386692,18.274794,-1
74,-4.138438,19.983814,-1
75,15.8556185,7.921387,-1
76,16.90035,6.6486216,-1
77,17.909107,4.125614,-1
78,18.053564,6.285393,-1
79,18.855001,7.8815,-1
80,19.48904,5.4226933,-1
81,18.823015,5.2038674,-1
82,11.054457,-3.7101598,-1
83,10.322871,-3.6846044,-1
84,11.777947,0.072358415,1
85,11.440291,-0.32565853,-1
86,12.31324,0.57077783,1
87,9.729871,-0.46568128,1
88,8.399068,-0.5662291,1
89,-3.6273818,-0.9823405,1
90,2.2682083,5.8648787,-1
91,2.996022,5.08816,1
92,3.0181775,3.7547624,1
93,-7.5785756,-20.973045,-1
94,-0.25306243,-16.32015,1
95,-8.203129,-18.669275,1
96,-4.813642,-23.332298,-1
97,-9.279628,-24.211685,-1
98,-9.584153,-22.518064,-1
99,10.706474,9.080717,-1
100,12.505941,8.764367,-1
101,11.541005,8.861584,-1
102,8.293877,1.9327201,1
103,18.945585,3.8381412,1
104,10.831746,9.691201,-1
105,0.9967744,7.1930046,-1
106,0.56485623,6.0758843,-1
107,2.4460847,7.5359244,-1
108,13.455199,2.8513563,1
109,16.803503,9.458357,1
110,14.603533,4.6295366,1
111,-4.974748,23.491873,-1
112,-5.19459,23.910858,-1
113,-5.136341,23.06775,-1
114,-7.4123664,-26.038025,-1
115,-8.685775,-26.347622,-1
116,-7.7895293,-25.860252,-1
117,2.5130274,8.62849,1
118,1.9472101,9.525597,1
119,1.5188789,10.503665,1
120,-4.148054,-23.063276,-1
121,-3.672283,-23.052166,-1
122,-3.0709517,-22.82495,-1
123,1.4465699,22.004921,-1
124,1.2078714,22.340063,-1
125,1.5899215,22.441195,-1
126,-3.0205095,-17.229074,1
127,-2.685438,-17.70773,1
128,-1.4298553,-21.046312,-1
129,-1.8747833,-19.326532,-1
130,-2.338459,-19.961138,-1
131,-1.6048869,-18.327942,-1
132,1.3505334,13.474749,-1
133,1.7377769,13.912763,-1
134,1.6168543,13.222127,1
135,-6.6949635,-24.750286,-1
136,-6.5618877,-24.769741,1
137,-7.415067,-23.817343,-1
138,21.274096,0.390514,-1
139,21.198208,0.91521156,-1
140,21.44117,0.978529,-1
141,6.932739,-5.381915,1
142,5.7185655,-4.5527163,-1
143,5.1374383,-4.2059283,1
144,-7.0369706,-0.65076965,1
145,-8.984494,-0.16562662,1
146,-5.12494,-1.2602339,1
147,-11.242544,-24.064266,-1
148,-12.015077,-23.453342,-1
149,-11.553188,-24.196503,-1
150,-6.373252,-1.9392598,-1
151,-6.2442107,-1.5477352,1
152,-9.302565,-2.351367,-1
153,-12.705239,-2.7570758,-1
154,-2.2521603,-2.6579661,1
155,-2.2130504,-2.8355043,1
156,-1.26852,-6.4176683,1
157,-1.2164998,-6.2998085,1
158,-4.704383,-18.807905,1
159,-10.977168,-5.857692,1
160,-9.024638,-5.2199984,1
161,-10.756556,-6.077097,1
162,-16.05131,1.7411693,1
163,-5.9293303,-4.3677964,-1
164,-1.3505104,-1.0154696,1
165,11.721486,-5.329837,1
166,-10.388517,-12.085684,-1
167,-13.081766,-2.2989032,-1
168,-9.54291,-6.2635856,1
169,-4.953693,-3.187053,-1
170,-9.941389,-6.8416348,1
171,-5.711269,-7.661506,-1
172,0.14271991,-1.9098284,1
173,1.5915523,-1.6876376,1
174,3.1946971,-8.373559,1
175,0.65710735,-23.799385,1
176,1.6884012,-22.56618,1
177,3.5362477,-7.357619,1
178,3.3862162,-6.0400496,-1
179,3.5947573,-6.4299626,1
180,0.39376527,-22.855978,1
181,-3.6956122,-15.950153,1
182,-3.6973453,-15.788304,1
183,4.1291394,10.73142,1
184,4.534642,11.700256,1
185,3.852023,10.418511,1
186,1.4807546,8.518796,1
187,4.3152347,7.876576,-1
188,4.916253,8.189019,-1
189,4.41728,2.3358757,1
190,0.6341551,0.19310148,1
191,0.80607665,0.13445346,1
192,-7.6098003,-1.513064,1
193,-4.0989766,-18.085094,1
194,-1.9529427,-23.977526,1
195,-7.5419054,-3.4786305,1
196,-13.725936,9.377408,-1
197,-5.185474,-17.441816,1
198,-4.610639,1.8791137,1
199,-2.9603968,24.863035,-1
200,-2.994759,24.845604,-1
201,-9.561319,6.1175227,-1
202,-8.607752,5.5554085,-1
203,-9.3139105,4.843655,-1
204,-9.488739,4.2062597,1
205,-10.144384,4.081963,1
206,-8.587984,3.5322905,1
207,-3.1574702,6.2679768,-1
208,-2.9892056,6.2142863,1
209,16.506273,10.467671,-1
210,-4.2085977,-6.374801,1
211,-5.63046,-5.3060794,1
212,-3.923026,-5.3004417,-1
213,-5.3155646,-7.324285,-1
214,-5.6783867,-6.51215,-1
215,-5.858812,-11.331635,1
216,-0.41190335,18.600578,-1
217,-0.69337475,18.073673,-1
218,-0.18175444,16.84706,-1
219,-8.37132,-23.862848,-1
220,-12.415698,-22.979294,-1
221,-4.342676,-28.140158,-1
222,-9.905867,13.151143,-1
223,-10.115905,13.94707,-1
224,-9.398287,13.811459,-1
225,-6.4116273,17.757906,-1
226,-4.416319,16.91419,-1
227,-5.163678,16.71675,-1
228,-8.771385,10.913178,-1
229,-7.0288744,13.000142,-1
230,-8.086382,12.939576,-1
231,-7.347857,11.938393,-1
232,-6.911868,14.315398,-1
233,-7.396617,13.767953,-1
234,-6.9474177,-5.416173,1
235,-5.6428475,-10.684002,-1
236,18.356405,0.032773618,1
237,-11.954632,13.497079,-1
238,10.444549,-13.146221,-1
239,-10.88052,13.833275,-1
240,-2.2357209,10.763218,-1
241,-0.78177017,9.195227,1
242,-7.6438665,16.281048,-1
243,11.203808,-14.188758,-1
244,11.245288,-13.671382,-1
245,11.916749,-13.650623,-1
246,-13.387695,-3.2279863,-1
247,-14.032426,-3.8979566,-1
248,-13.728302,-6.221192,1
249,-10.800232,10.701973,-1
250,-6.9377375,10.937391,-1
251,-3.8739564,25.788754,-1
252,6.965356,17.296387,1
253,7.4159017,16.32646,-1
254,7.233379,16.609463,1
255,-10.790953,12.25096,-1
256,-9.923205,15.182098,-1
257,-9.659683,15.812146,-1
258,-10.669216,-13.394066,-1
259,-8.681182,-15.576287,-1
260,-4.022117,-10.16018,-1
261,-8.968162,19.638668,-1
262,-9.05451,17.29479,-1
263,-9.922272,17.962414,-1
264,-6.2664948,-12.671031,1
265,-5.8502555,-9.478346,-1
266,-4.3123775,-13.041171,1
267,-2.6967304,15.331181,-1
268,-3.9183145,17.210896,-1
269,-3.457747,15.75171,-1
270,-9.254515,12.22342,-1
271,-8.259203,15.374693,-1
272,-8.859218,15.298453,-1
273,-5.771864,15.835293,-1
274,-4.7251005,15.413034,-1
275,-10.971668,18.158096,-1
276,-11.18655,16.343699,-1
277,-7.9567366,19.192265,-1
278,-5.511367,18.066463,-1
279,-3.882345,-11.896779,-1
280,-4.168281,-12.308104,-1
281,-6.871805,-10.312621,-1
282,-19.152903,-2.2219768,-1
283,-19.175802,-2.1170187,-1
284,-8.980876,9.764377,-1
285,-12.270433,4.962903,1
286,-12.135403,5.407254,-1
287,-12.524044,6.512971,-1
288,-6.919905,7.533425,-1
289,-7.0602765,7.4726787,-1
290,-7.9043446,7.2592573,-1
291,-9.070507,-12.179271,1
292,-8.6990385,0.7926974,-1
293,17.711319,-0.5325154,-1
294,11.423341,-12.635452,-1
295,-10.343237,-11.516421,1
296,-11.270583,10.014575,-1
297,-14.041341,10.786241,-1
298,-14.4314785,10.887048,-1
299,-14.061731,10.198084,-1
300,-4.076236,13.973422,-1
301,-3.7872827,13.428868,-1
302,-3.7355993,13.532079,-1
303,19.106483,10.20533,-1
304,18.569372,11.05782,-1
305,16.030493,0.29866806,-1
306,-6.1637683,-15.98851,-1
307,-6.8244915,-14.566713,1
308,-6.3824368,-14.895877,1
309,-4.3216267,9.074628,-1
310,-4.728359,8.994682,-1
311,-5.193656,0.0249806,1
312,20.759382,3.4421613,-1
313,19.854002,-4.13547,-1
314,20.006441,-3.6418445,-1
315,-3.423754,-8.9030075,1
316,-12.196064,-6.976189,1
317,-11.8943405,-6.5125766,1
318,-5.159606,10.777124,-1
319,-3.2016659,10.034297,-1
320,-5.839174,10.786917,-1
321,-6.9929805,18.354305,-1
322,-5.8414392,20.464241,-1
323,-5.9778695,19.83556,-1
324,-10.980986,8.698257,-1
325,-7.5379868,-12.584785,1
326,-6.0175157,0.09119148,-1
327,-0.7990427,-10.962765,1
328,0.42188793,-17.303596,1
329,0.34498835,-14.713626,1
330,-0.02641767,-14.545175,1
331,-1.7064952,-14.630199,1
332,-2.4948301,-14.073678,1
333,-1.9462976,-14.748691,1
334,1.4044765,-16.369364,1
335,1.9510238,-16.069798,1
336,0.7162607,-19.230906,1
337,1.9928374,-18.166384,1
338,1.5932194,-18.39764,1
339,-0.96466833,10.987111,1
340,1.1415892,17.939232,1
341,-0.94331867,10.732919,1
342,-4.79625,18.800688,-1
343,-0.92477983,18.923676,-1
344,2.6637566,19.351227,1
345,2.007996,2.3809042,1
346,3.081747,2.4702861,-1
347,2.18587,2.832631,1
348,0.25846606,-4.461344,-1
349,-0.60882384,-3.846022,-1
350,-0.9633899,-3.151748,-1
351,-4.044072,-20.388935,-1
352,-3.9195745,-21.727318,-1
353,-4.540449,-21.687145,-1
354,-16.998886,3.058165,-1
355,-16.761454,2.0158002,-1
356,-16.68115,1.9478989,-1
357,2.865197,-22.63349,-1
358,-1.0489386,-19.234762,-1
359,-0.4754678,-22.45201,-1
360,4.528758,-0.0140138455,1
361,6.8378487,1.9195915,1
362,3.4909713,-0.0008420432,1
