,train_sizes,train_or_test_data,k_fold_stratified_scores
0,62,train_score,1.0
1,62,train_score,1.0
2,62,train_score,1.0
3,62,train_score,1.0
4,62,train_score,1.0
100,62,test_scores,0.29847967403080694
101,62,test_scores,0.3621299670487217
102,62,test_scores,0.447464970529986
103,62,test_scores,0.33360965645188895
104,62,test_scores,0.38807611706565787
105,91,test_scores,0.4110142421532628
106,91,test_scores,0.3783241186490532
107,91,test_scores,0.4908741781585656
109,91,test_scores,0.3618089587331898
9,91,train_score,1.0
8,91,train_score,1.0
7,91,train_score,1.0
6,91,train_score,1.0
5,91,train_score,1.0
108,91,test_scores,0.3694188878438977
114,121,test_scores,0.49711784293303285
110,121,test_scores,0.4218976322121517
113,121,test_scores,0.4025444485169885
111,121,test_scores,0.4407382314967454
112,121,test_scores,0.5811534687325507
11,121,train_score,1.0
12,121,train_score,1.0
13,121,train_score,1.0
14,121,train_score,1.0
10,121,train_score,1.0
115,150,test_scores,0.5140992134800184
118,150,test_scores,0.46805302730510495
119,150,test_scores,0.5666376102250607
116,150,test_scores,0.4721247070525063
17,150,train_score,1.0
18,150,train_score,1.0
19,150,train_score,1.0
117,150,test_scores,0.6723026614431917
16,150,train_score,1.0
15,150,train_score,1.0
20,180,train_score,1.0
21,180,train_score,1.0
22,180,train_score,1.0
121,180,test_scores,0.5005858313421835
122,180,test_scores,0.6549800651679836
123,180,test_scores,0.5042248282330861
124,180,test_scores,0.6207108259835359
24,180,train_score,1.0
120,180,test_scores,0.6240682474483509
23,180,train_score,1.0
125,209,test_scores,0.6174894600843194
126,209,test_scores,0.549448651475592
127,209,test_scores,0.6869731254737373
128,209,test_scores,0.6401256380358548
129,209,test_scores,0.6112507203838474
25,209,train_score,1.0
28,209,train_score,1.0
26,209,train_score,1.0
27,209,train_score,1.0
29,209,train_score,1.0
132,238,test_scores,0.7006962864185708
131,238,test_scores,0.603806616500115
130,238,test_scores,0.6983661245138467
134,238,test_scores,0.6044562485317897
30,238,train_score,1.0
133,238,test_scores,0.6516023915975032
32,238,train_score,1.0
33,238,train_score,1.0
34,238,train_score,1.0
31,238,train_score,1.0
35,268,train_score,1.0
36,268,train_score,1.0
37,268,train_score,1.0
38,268,train_score,1.0
139,268,test_scores,0.5999973132156172
138,268,test_scores,0.6917455404076368
137,268,test_scores,0.6875193698043505
136,268,test_scores,0.5886763738434827
135,268,test_scores,0.7291352867332289
39,268,train_score,1.0
144,297,test_scores,0.5983062164421135
141,297,test_scores,0.6124787999288079
140,297,test_scores,0.7480994254411683
44,297,train_score,1.0
43,297,train_score,1.0
42,297,train_score,1.0
40,297,train_score,1.0
41,297,train_score,1.0
143,297,test_scores,0.64308582948434
142,297,test_scores,0.6799216874299199
149,327,test_scores,0.6087203450084337
147,327,test_scores,0.7533721877226917
48,327,train_score,1.0
146,327,test_scores,0.6353002886837472
145,327,test_scores,0.7449520692324918
45,327,train_score,1.0
46,327,train_score,1.0
47,327,train_score,1.0
148,327,test_scores,0.6866412156289663
49,327,train_score,1.0
54,356,train_score,1.0
51,356,train_score,1.0
52,356,train_score,1.0
53,356,train_score,1.0
154,356,test_scores,0.6502830601257604
153,356,test_scores,0.6973348678008935
152,356,test_scores,0.7164750291537065
151,356,test_scores,0.6539000196632649
150,356,test_scores,0.7319655786166396
50,356,train_score,1.0
157,386,test_scores,0.7492145033018494
155,386,test_scores,0.7584961506824895
156,386,test_scores,0.6252193568042959
159,386,test_scores,0.6502839617350974
58,386,train_score,1.0
158,386,test_scores,0.6853916529154395
59,386,train_score,1.0
55,386,train_score,1.0
57,386,train_score,1.0
56,386,train_score,1.0
62,415,train_score,1.0
160,415,test_scores,0.7966036675206564
61,415,train_score,1.0
60,415,train_score,1.0
64,415,train_score,1.0
161,415,test_scores,0.6957706766917293
162,415,test_scores,0.7609587281923611
163,415,test_scores,0.6989275692713854
164,415,test_scores,0.6489551700939292
63,415,train_score,1.0
169,445,test_scores,0.6739663085271689
168,445,test_scores,0.7261569965008127
167,445,test_scores,0.779209654349632
166,445,test_scores,0.6952517654844644
165,445,test_scores,0.8003640045063016
65,445,train_score,1.0
66,445,train_score,1.0
67,445,train_score,1.0
68,445,train_score,1.0
69,445,train_score,1.0
70,474,train_score,1.0
73,474,train_score,1.0
72,474,train_score,1.0
170,474,test_scores,0.7871856290831359
74,474,train_score,1.0
171,474,test_scores,0.7103483259149884
173,474,test_scores,0.7380277770859489
174,474,test_scores,0.6957732327697395
71,474,train_score,1.0
172,474,test_scores,0.7681030985062339
76,504,train_score,1.0
77,504,train_score,1.0
78,504,train_score,1.0
178,504,test_scores,0.7379380084366233
177,504,test_scores,0.7636676189307768
176,504,test_scores,0.7205007861268077
175,504,test_scores,0.7651776662856995
179,504,test_scores,0.7128489733255625
75,504,train_score,1.0
79,504,train_score,1.0
180,533,test_scores,0.7789329254743952
182,533,test_scores,0.7881519838950181
183,533,test_scores,0.7366832109947637
184,533,test_scores,0.7170867759510419
80,533,train_score,1.0
81,533,train_score,1.0
82,533,train_score,1.0
83,533,train_score,1.0
84,533,train_score,1.0
181,533,test_scores,0.754262180700315
85,563,train_score,1.0
86,563,train_score,1.0
88,563,train_score,1.0
89,563,train_score,1.0
189,563,test_scores,0.7320163613148217
188,563,test_scores,0.7542397360220118
187,563,test_scores,0.7657415007529423
186,563,test_scores,0.7688467876997828
185,563,test_scores,0.7942254662114955
87,563,train_score,1.0
190,592,test_scores,0.8123855591297504
192,592,test_scores,0.7841488675491706
194,592,test_scores,0.7043058793095556
191,592,test_scores,0.7697153436119715
94,592,train_score,1.0
93,592,train_score,1.0
92,592,train_score,1.0
91,592,train_score,1.0
90,592,train_score,1.0
193,592,test_scores,0.7637168011862489
195,622,test_scores,0.8099118025710824
197,622,test_scores,0.7896451352496652
196,622,test_scores,0.7660947305558395
99,622,train_score,1.0
98,622,train_score,1.0
97,622,train_score,1.0
96,622,train_score,1.0
95,622,train_score,1.0
198,622,test_scores,0.7621209531752142
199,622,test_scores,0.700207270522287
