,class,Number of Observations,Mean F1 Score
0,CS,105,0.8076637031624244
1,PH,102,0.5939671577132877
2,LB,61,0.3767674430832325
3,FH,54,0.935994560994561
4,WH,45,0.5706288156288156
5,BH,36,0.4544011544011545
6,WN,36,0.64
7,WW,36,0.8724603174603175
8,SL,30,0.6114285714285714
9,BM,30,0.23888888888888887
10,AR,30,0.4359090909090909
11,BC,30,0.5723809523809524
12,PF,30,0.8388095238095238
13,KQ,27,0.5642857142857143
14,FG,27,0.7814285714285714
15,ER,27,0.724047619047619
16,SQ,21,0.3647619047619048
17,TC,18,0.6783333333333335
