,tsne1,tsne2,class
0,43.20148,-10.150732,FH
1,40.88193,-12.228107,FH
2,38.606674,-10.051903,FH
3,43.673237,-5.222,FH
4,38.432564,-10.012452,FH
5,42.02079,-10.701431,FH
6,45.43847,-9.010861,FH
7,40.534508,-10.520747,FH
8,42.054184,-12.153903,FH
9,41.22917,-9.624416,FH
10,48.317074,-12.327546,FH
11,43.851116,-9.816175,FH
12,41.649223,-14.590276,FH
13,41.625767,-13.860035,FH
14,40.832817,-13.739643,FH
15,42.22435,-13.943715,FH
16,40.685837,-14.463739,FH
17,41.540077,-13.29533,FH
18,44.69556,-9.123289,
19,40.112408,-12.76849,FH
20,43.037724,-11.992613,FH
21,45.57507,-11.102113,FH
22,44.862827,-10.021058,FH
23,45.753838,-10.15965,FH
24,14.245333,0.5435468,FH
25,46.029083,-15.138679,FH
26,45.08671,-8.080006,FH
27,44.106598,-8.882828,FH
28,47.442898,-10.166226,FH
29,37.36365,-15.780569,FH
30,43.448895,-9.01283,FH
31,43.62862,-6.6858444,FH
32,41.391045,-8.513114,FH
33,46.029392,-9.172557,FH
34,41.478027,-8.381326,FH
35,44.822548,-14.973678,FH
36,47.389637,-13.880286,FH
37,47.494473,-14.078214,FH
38,45.352512,-16.318907,FH
39,20.75568,-13.6627035,FH
40,-4.678046,0.0022867548,FH
41,43.3114,-13.31067,FH
42,43.768196,-13.7299795,FH
43,44.18333,-14.34991,FH
44,44.35196,-11.53914,FH
45,44.34284,-10.554972,FH
46,42.875828,-10.767503,FH
47,44.560215,-13.258174,FH
48,43.959343,-12.827578,FH
49,45.65064,-12.693618,FH
50,43.408127,-15.730637,FH
51,47.16364,-12.4316435,FH
52,46.80651,-11.406149,FH
53,22.796984,-16.29421,FH
54,28.190231,-14.914393,ER
55,-22.676582,-17.836075,
56,25.251835,-12.789375,ER
57,25.427206,-12.597743,ER
58,25.429688,-13.398254,ER
59,24.638271,-14.394377,ER
60,26.171936,-6.3819385,
61,26.33854,-16.668465,ER
62,27.313433,-15.074211,ER
63,27.1076,-10.996637,ER
64,27.312418,-11.141501,ER
65,24.09612,-17.69563,ER
66,27.257986,-12.899352,ER
67,27.757032,-12.569207,ER
68,24.573097,-2.0648532,ER
69,34.957047,-15.466356,ER
70,31.363821,-9.246585,ER
71,27.473768,-14.295593,ER
72,30.486366,-11.348188,
73,27.644756,-13.842488,ER
74,24.701973,-16.54475,ER
75,26.036167,-15.883241,ER
76,24.895142,-16.284664,ER
77,30.192562,-15.334091,ER
78,31.332624,-15.358821,ER
79,28.73593,-9.01746,ER
80,22.45486,-17.601246,ER
81,28.93477,-9.812192,WW
82,21.779919,-17.014854,WW
83,29.27104,-11.1158,WW
84,29.802773,-10.707478,WW
85,28.947392,-8.3756075,WW
86,24.382242,-1.9077833,WW
87,29.437223,-6.996636,WW
88,31.438944,-5.794022,WW
89,32.14993,-4.744202,WW
90,32.74098,-9.106621,WW
91,31.843222,-9.771014,WW
92,-29.150595,-6.1148605,WW
93,31.487226,-7.2845926,WW
94,30.937813,-7.599542,WW
95,30.8163,-11.824546,WW
96,31.4324,-13.301745,WW
97,30.663494,-12.969961,WW
98,32.423412,-4.063839,WW
99,32.804222,-2.4157853,WW
100,32.817886,-2.3349574,WW
101,32.67001,-11.626843,WW
102,26.287533,-10.91539,WW
103,32.210815,-12.047317,WW
104,31.022549,-10.981513,WW
105,29.678179,-12.078717,WW
106,29.437628,-14.2222595,WW
107,33.927555,-8.237353,WW
108,30.845335,-10.407549,WW
109,28.60199,-13.022465,WW
110,32.734604,-7.6722355,WW
111,30.3324,-9.675695,WW
112,32.64492,-7.5129366,WW
113,1.9033204,-18.267765,WW
114,1.0111767,-17.305843,WW
115,8.496358,-0.6324604,WW
116,7.696877,-16.616121,WW
117,10.879041,-18.698328,TC
118,10.391011,-18.305393,TC
119,7.024238,-16.57459,TC
120,-5.7513294,-9.712055,TC
121,0.91720283,-10.471338,TC
122,3.6598263,-10.715598,TC
123,5.1149254,-10.595381,TC
124,5.2663307,-10.568658,TC
125,-20.928238,-3.4690382,TC
126,5.240225,-12.7708025,TC
127,12.733971,-19.31029,TC
128,1.9458543,-9.009496,TC
129,1.8870186,-10.425585,TC
130,1.5207009,-9.950297,TC
131,-9.676514,-12.948994,TC
132,5.648662,-17.76571,TC
133,4.790102,-20.240112,TC
134,-10.288106,-11.2264805,TC
135,-10.174078,-9.359645,CS
136,-11.04957,-12.587998,CS
137,-19.69587,7.265914,CS
138,9.660233,-19.363811,CS
139,-8.800619,-8.955823,CS
140,-14.252299,-15.200271,CS
141,-13.336687,-16.606491,CS
142,-14.316005,-15.307908,CS
143,-13.574355,-14.141454,CS
144,1.505718,-24.023336,CS
145,0.9629415,-21.789528,CS
146,-19.048433,-5.014319,CS
147,-12.306916,-16.642057,CS
148,-14.700293,-16.861238,CS
149,-13.844514,-8.883386,CS
150,-12.572172,-6.803792,CS
151,-18.648552,3.9984522,CS
152,-6.2538705,-8.505455,CS
153,-8.758655,-10.041644,CS
154,-13.498219,-3.8908315,CS
155,-15.377825,-7.0245047,CS
156,-14.191424,-5.3185005,CS
157,-14.142892,-6.5696573,CS
158,-4.768741,-27.296768,CS
159,-0.029566858,-22.317318,CS
160,-13.947751,-18.745249,CS
161,-10.009713,-8.722505,CS
162,-9.965217,-7.82922,CS
163,-9.233487,-9.405433,CS
164,-19.813103,24.5534,CS
165,-20.693586,26.470371,CS
166,-21.061579,27.262386,CS
167,9.269146,-21.440123,CS
168,-6.519999,-2.5580442,CS
169,-7.660336,-1.6755606,CS
170,-18.941189,5.2079654,CS
171,-17.806875,4.137438,CS
172,-2.586882,-26.13311,CS
173,-6.3872576,-19.845736,CS
174,-0.81936926,-18.061981,CS
175,-15.481107,-18.385756,CS
176,-7.7694945,-3.7589054,CS
177,-14.166924,-7.3015547,CS
178,-23.71986,20.390034,CS
179,8.635092,-21.794584,CS
180,6.550362,-19.472872,CS
181,-6.033131,-12.836913,CS
182,-6.832392,-9.334713,CS
183,7.3279047,-20.079746,CS
184,6.5115533,-20.547462,CS
185,-7.5667033,-11.351582,CS
186,-2.3988647,-24.161945,CS
187,0.09549971,-19.39469,CS
188,-1.553992,-18.80491,CS
189,-1.4943013,-19.228277,CS
190,-7.0271125,0.20572469,CS
191,-6.3122063,-2.645056,CS
192,-5.4368067,-12.431385,CS
193,7.8803062,-20.041103,CS
194,-22.701836,24.611158,CS
195,-12.198406,-14.014915,CS
196,-12.498211,-15.405835,CS
197,-7.9391546,-11.465239,CS
198,10.651529,-20.69839,CS
199,-14.75925,1.9852173,CS
200,-3.0649848,-26.213322,CS
201,-22.017887,28.36175,CS
202,-10.242847,-17.50831,CS
203,1.547008,-21.623068,CS
204,-11.260318,-13.668683,CS
205,-11.853588,-12.051925,CS
206,2.7843564,-11.651759,CS
207,-16.098188,-4.3139863,CS
208,-19.68922,5.3591504,CS
209,-20.631672,6.3823185,CS
210,-18.307243,-2.6539044,CS
211,-20.86315,22.947226,CS
212,-20.18862,24.351833,CS
213,-19.150732,6.445954,CS
214,-3.5910048,-19.821686,CS
215,-6.636473,-19.649044,CS
216,-9.942688,-14.851164,CS
217,-19.026964,-1.4680905,CS
218,-12.494267,-17.735472,CS
219,-20.257093,22.84022,CS
220,2.5179298,-20.59733,CS
221,-13.517658,-10.3482685,CS
222,3.870289,-16.108212,CS
223,-13.733042,-10.328659,CS
224,-18.929708,-1.2228982,CS
225,-20.907574,3.120935,CS
226,-20.279026,2.656159,CS
227,-15.2772045,-9.801634,CS
228,4.997403,-26.335955,CS
229,4.9719086,-26.327566,CS
230,-12.508691,-10.236806,CS
231,-8.159702,-14.417682,CS
232,-14.112694,-11.626835,CS
233,-14.835104,-5.615739,CS
234,-17.968767,-7.881702,CS
235,-21.465939,4.1178093,CS
236,17.23343,-14.411596,CS
237,17.003168,-8.558169,CS
238,16.48714,-14.532183,CS
239,16.431154,-14.779477,CS
240,16.43274,-11.393483,BC
241,16.241257,-11.330315,BC
242,37.207787,-16.216002,BC
243,16.643326,-5.2305894,BC
244,16.07585,-15.405012,BC
245,16.549797,-10.008444,BC
246,17.02339,-8.017863,BC
247,17.580183,-7.3995185,BC
248,-30.823484,3.248429,BC
249,15.988415,-7.537423,BC
250,-25.23805,5.826644,BC
251,-2.752919,11.042191,BC
252,-1.7466874,11.190454,BC
253,10.889531,-11.428204,BC
254,9.521012,-23.159044,BC
255,12.913132,-9.068015,BC
256,13.691978,-10.082521,BC
257,7.1691804,-6.5027766,BC
258,5.5848947,12.441727,BC
259,4.779017,12.855859,BC
260,-0.59240735,9.121187,BC
261,-0.45403853,9.428064,BC
262,-2.5794203,13.965932,BC
263,7.2040124,2.3256984,BC
264,-1.3513708,12.649631,BC
265,-2.0000098,11.914722,BC
266,12.511943,-4.917003,BC
267,12.695464,-6.8740287,BC
268,12.883323,-6.656104,BC
269,13.529649,-7.7053404,BC
270,13.654109,-5.4734335,KQ
271,13.866072,-9.153916,KQ
272,13.724426,-3.865638,KQ
273,20.29698,-16.805763,KQ
274,11.970288,-7.73046,KQ
275,13.766207,-6.5788693,KQ
276,14.14903,-5.7502227,KQ
277,0.34710708,10.744769,KQ
278,12.693395,-5.7223377,KQ
279,12.988678,-3.3824246,KQ
280,11.823925,-5.324347,KQ
281,10.558305,-8.635264,KQ
282,9.509213,-7.95066,KQ
283,10.745693,-9.255898,KQ
284,6.4718924,18.329737,KQ
285,2.0446434,7.5217576,KQ
286,6.0795507,14.202388,KQ
287,-2.66182,7.686894,KQ
288,-2.7341084,9.002833,KQ
289,-2.349282,7.2087836,KQ
290,5.6768746,15.468374,KQ
291,4.874216,15.491409,KQ
292,3.7034302,14.934284,KQ
293,11.468526,-15.205279,KQ
294,21.10394,-0.13231282,KQ
295,12.448852,-13.864992,KQ
296,7.462178,-11.305659,KQ
297,5.3307953,-7.775864,AR
298,-3.5103188,5.3788238,AR
299,11.725497,-19.42841,AR
300,10.912461,-16.620705,AR
301,8.536423,-15.734418,AR
302,4.0937304,5.759548,AR
303,9.416707,0.13188282,AR
304,7.410272,17.395374,AR
305,22.30171,-0.6289779,AR
306,10.7513075,-16.789858,AR
307,-26.704096,5.2067633,AR
308,7.349038,-10.4004135,AR
309,7.0793157,-9.453923,AR
310,6.1211123,-8.3524885,AR
311,-2.8220956,4.687826,AR
312,20.173649,-0.5108206,AR
313,-8.477824,15.755032,AR
314,8.620619,5.402745,AR
315,-7.8824425,18.033049,AR
316,7.0539246,3.9490542,AR
317,4.099534,1.8661213,AR
318,-2.6105359,16.427465,AR
319,-5.5970206,23.202295,AR
320,12.635212,-21.079046,AR
321,-1.9197913,17.164333,AR
322,-13.415906,-3.2796955,AR
323,-13.587604,11.490803,AR
324,-2.7211056,21.804628,AR
325,-20.112486,0.57606304,AR
326,0.17010161,21.802351,AR
327,-10.591543,14.881818,SL
328,6.243696,-14.3352,SL
329,-11.980636,12.9934845,SL
330,-13.000342,12.269111,SL
331,-9.912234,9.680679,SL
332,-14.539497,-18.21283,SL
333,3.5805643,-14.239751,SL
334,14.235621,-18.948895,SL
335,-6.1048403,15.912467,SL
336,-0.34320742,21.058989,SL
337,11.407798,22.12894,SL
338,-10.997849,14.155563,SL
339,-11.28646,13.517608,SL
340,-11.723714,10.468159,SL
341,-16.500668,9.35863,SL
342,-12.52631,11.037205,SL
343,-19.0166,25.20676,SL
344,13.656817,-16.12619,SL
345,7.2823343,-13.378821,SL
346,15.429082,-18.874153,SL
347,-10.639172,10.601407,SL
348,7.1414905,-13.872225,SL
349,5.056428,-4.3867483,SL
350,-21.823421,1.3744321,SL
351,-22.734158,2.2418773,SL
352,-22.570879,2.193504,SL
353,5.467281,18.088493,SL
354,5.2545033,17.291862,SL
355,6.4776793,20.115702,SL
356,3.450104,15.1583605,SL
357,-5.516371,12.550609,FG
358,4.8799925,18.127033,FG
359,10.767466,13.346095,FG
360,19.511122,3.3218102,FG
361,15.082082,13.554527,FG
362,2.5880938,13.963069,FG
363,20.473648,-12.276037,FG
364,1.6470065,21.042706,FG
365,1.9585364,15.090931,FG
366,1.8199656,13.394167,FG
367,3.1506066,12.428559,FG
368,1.8705505,9.344235,FG
369,0.4267127,10.87313,FG
370,2.7101266,12.467288,FG
371,3.8079607,16.308933,FG
372,5.3805547,19.202991,FG
373,10.932956,11.99059,FG
374,4.540977,13.642726,FG
375,18.519068,15.241294,FG
376,0.8888513,13.207617,FG
377,4.0846567,17.244759,FG
378,4.396227,16.281319,FG
379,4.8646092,19.768822,FG
380,-32.055943,1.8254516,FG
381,-34.796516,6.670693,FG
382,-35.29295,5.427812,FG
383,-34.1511,5.7196183,FG
384,-33.65068,6.6335063,
385,-32.42813,5.4038277,WB_BX
386,-33.223278,6.3734703,WB_BX
387,-32.413822,6.1802845,WB_BX
388,-33.020313,3.3468392,WB_BX
389,-33.369617,2.6874075,WB_BX
390,-32.095303,3.1915486,WB_BX
391,-32.973118,5.5692735,WB_BX
392,-33.08684,4.4494653,WB_BX
393,-33.375732,4.8667135,WB_BX
394,-33.86179,4.3355136,WB_BX
395,-23.45886,21.01384,WB_BX
396,-34.852455,3.8531573,WB_BX
397,12.2174425,-16.250853,WB_BX
398,3.734455,-12.829561,WB_BX
399,2.2938166,-1.688084,WB_BX
400,12.655319,-21.999462,WB_BX
401,-3.060227,-7.8821034,WB_BX
402,1.9495105,-12.666714,WB_BX
403,-3.7798605,-9.400671,WB_BX
404,-4.8442254,-15.364159,WB_BX
405,-3.3023334,-14.876004,WB_BX
406,-0.23129436,22.930275,WB_BX
407,-0.15949836,24.432077,WB_BX
408,0.13352558,23.457848,WB_BX
409,-11.928691,-21.264132,WB_BX
410,-12.228099,-22.318872,WB_BX
411,-17.543188,6.4471407,WB_BX
412,9.405483,2.6890295,WB_BX
413,-10.378617,25.293938,WB_BX
414,8.507725,4.131135,WB_BX
415,7.0698724,5.3252163,WB_BX
416,3.1603944,-3.621357,WB_BX
417,1.1764281,-5.658075,WB_BX
418,3.2131326,-23.953087,WB_BX
419,4.731721,-2.6912127,WB_BX
420,-8.882532,-6.9962664,WB_BX
421,12.761584,-13.187062,WB_BX
422,6.5833664,5.582164,WB_BX
423,9.597609,2.3758237,WB_BX
424,-4.9975247,17.796785,WB_BX
425,3.3334718,-0.9266866,WB_BX
426,-3.7187293,17.216314,WB_BX
427,13.454098,8.567352,WB_BX
428,18.019571,13.203338,WB_BX
429,18.346136,13.562741,WB_BX
430,15.477259,10.979814,WB_BX
431,19.615417,13.995505,WB_BX
432,19.046658,11.133567,PF
433,8.521462,9.706167,PF
434,8.341221,8.344983,PF
435,10.168453,6.877775,PF
436,19.721785,12.502566,PF
437,17.23631,11.221316,PF
438,15.511248,12.350495,PF
439,13.626764,12.291484,PF
440,13.581476,11.178491,PF
441,16.035736,15.015447,PF
442,6.0146165,8.207035,PF
443,4.5498934,6.99175,PF
444,5.821718,8.24171,PF
445,18.256353,12.70883,PF
446,17.468359,10.149911,PF
447,15.699987,11.942853,PF
448,17.233913,13.852585,PF
449,11.114854,10.842937,PF
450,17.154667,12.3848915,PF
451,14.245369,11.784395,PF
452,8.023782,9.388049,PF
453,7.2598658,9.923325,PF
454,10.205508,6.998269,PF
455,9.001512,19.73914,PF
456,5.6152873,21.225939,PF
457,-29.017593,6.599426,PF
458,-28.065073,7.4051037,PF
459,-28.38823,7.3212233,PF
460,10.291849,-10.134929,PF
461,10.472057,-6.262154,PF
462,9.984921,-12.672505,BM
463,-11.946532,-0.795246,BM
464,14.298712,-17.821447,BM
465,-0.85451144,19.54339,BM
466,-24.435692,17.240562,BM
467,-23.68115,18.51726,BM
468,-26.741945,22.517162,BM
469,9.895871,-14.347562,BM
470,-23.50253,17.098938,BM
471,9.321526,-11.728559,BM
472,-17.331364,7.9694943,BM
473,11.032171,-14.972511,BM
474,-11.7870245,7.063289,BM
475,-2.0445154,-2.1347198,BM
476,-2.4414976,-0.5071329,BM
477,-2.2805,-2.1715105,BM
478,5.99777,1.4955934,BM
479,6.420019,1.3423995,BM
480,-4.3188367,7.486104,BM
481,-3.6340218,3.6688135,BM
482,-3.4117427,-6.600528,BM
483,-1.5082717,-6.2347193,BM
484,12.874135,-14.657911,BM
485,-11.58963,-0.19043766,BM
486,12.688891,-17.235172,BM
487,-25.472364,3.6028008,BM
488,-9.268333,3.6983645,BM
489,-17.643667,16.08566,BM
490,-22.390244,6.957368,BM
491,-23.896328,6.817591,BM
492,-24.723064,7.3511057,WH
493,-24.352274,-2.125083,WH
494,-24.23029,-1.7843077,WH
495,-24.539656,-3.1147454,WH
496,-23.360832,5.3113832,WH
497,-22.785646,5.679453,WH
498,-23.238327,6.3821816,WH
499,-24.728922,4.530253,WH
500,-27.672125,6.672848,WH
501,-27.13633,-0.09999645,WH
502,-23.59021,6.5550513,WH
503,-12.333134,-2.958442,WH
504,-27.20252,7.7983084,WH
505,-15.079662,7.828867,WH
506,-14.034594,7.3700438,WH
507,-26.90165,19.505564,WH
508,-27.225609,-0.9691791,WH
509,-19.985916,5.070973,WH
510,-18.658302,6.9765587,WH
511,-12.728455,7.1563315,WH
512,-13.594405,7.5183487,WH
513,-16.400986,16.947302,WH
514,-20.474539,8.633869,WH
515,4.635069,-6.8212366,WH
516,-21.901785,8.570261,WH
517,-1.7730902,-20.33935,WH
518,-8.920794,1.555526,WH
519,-17.44036,20.452932,WH
520,-4.7939453,-11.551358,WH
521,-11.969941,-6.0218954,WH
522,-3.074109,-4.214923,WH
523,-16.054897,1.9525157,WH
524,-16.28727,1.9895698,WH
525,-21.713366,-7.381942,WH
526,-16.288397,17.595457,WH
527,-20.753258,7.994305,WH
528,-27.101221,23.198547,WH
529,-18.676855,23.15748,WH
530,-23.21324,25.373705,WH
531,-4.777716,-26.047846,WH
532,-9.957657,18.789093,WH
533,-31.448172,-3.160499,WH
534,-11.049245,17.754534,WH
535,-26.376099,6.828969,WH
536,-12.028811,19.824104,WH
537,-9.231311,14.4761915,SQ
538,-0.93086827,15.285338,SQ
539,-3.16266,15.003132,SQ
540,-7.5133333,18.157951,SQ
541,-12.33687,0.8545642,SQ
542,-0.46903,-11.6750145,SQ
543,12.233177,-17.653276,SQ
544,6.6547065,-3.0555794,SQ
545,-1.5006632,-5.1502137,SQ
546,5.0151925,9.88151,SQ
547,-3.8777156,12.194621,SQ
548,5.327343,3.3229759,SQ
549,4.9231663,10.196975,SQ
550,19.771324,2.775938,SQ
551,10.412946,-17.717514,SQ
552,-10.091834,19.341953,SQ
553,-33.159485,15.435455,SQ
554,-23.89131,14.177089,SQ
555,-32.984818,15.259905,SQ
556,-34.42694,17.950134,SQ
557,-31.694977,16.661224,SQ
558,-34.176376,15.992539,
559,-34.86431,13.278333,
560,-26.957342,14.793239,
561,-34.561237,13.451046,
562,0.61224025,0.15548237,
563,-7.979136,7.224636,
564,-9.043674,7.763588,
565,-22.767159,11.714788,
566,-23.84086,12.183639,
567,-13.4890995,16.717897,
568,-9.835115,7.4841685,
569,-4.207865,6.1449137,
570,-6.0630984,-16.848448,
571,-13.034926,4.1922426,
572,-3.850772,-13.162975,
573,-19.484612,14.931381,WN
574,21.947927,0.98289806,WN
575,-18.73063,14.061289,WN
576,21.873142,1.3309054,WN
577,-7.7050276,0.54990923,WN
578,21.67295,2.2778068,WN
579,-19.809507,15.092923,WN
580,23.348444,0.7662509,WN
581,-8.674354,14.137865,WN
582,26.779194,1.5738318,WN
583,23.935558,1.5643197,WN
584,-9.178955,29.375961,WN
585,-12.404275,3.97844,WN
586,6.7133813,-2.5279334,WN
587,6.0900807,-0.7903978,WN
588,18.227139,1.4205021,WN
589,-6.5482173,11.644335,WN
590,-6.4953523,11.118137,WN
591,8.28473,17.491167,WN
592,-6.380161,9.26438,WN
593,-5.86576,11.016152,WN
594,-6.6008034,12.637638,WN
595,-8.449759,10.763347,WN
596,-17.675524,9.678574,WN
597,-8.365562,12.086655,WN
598,3.422499,-8.20391,WN
599,-14.664932,22.491583,WN
600,-15.609617,8.187271,WN
601,-28.589737,-0.23300806,WN
602,-10.127987,7.129988,WN
603,-28.267292,-0.19602573,WN
604,-8.160271,12.012633,WN
605,-28.317017,4.4927416,WN
606,-7.0011954,9.729658,WN
607,0.43948945,3.8199382,WN
608,1.3515496,4.718239,WN
609,10.205304,20.777523,BH
610,9.26117,21.876648,BH
611,0.63616407,4.0103045,BH
612,11.2537365,21.37444,BH
613,15.727314,9.619313,BH
614,17.33071,14.584214,BH
615,13.009021,20.14884,BH
616,1.5897064,5.1271186,BH
617,1.4304475,5.407132,BH
618,13.457247,18.7724,BH
619,10.232025,20.401169,BH
620,9.253873,18.000158,BH
621,-4.2355194,9.855923,BH
622,9.899422,17.80463,BH
623,12.556052,19.966711,BH
624,15.366115,17.025227,BH
625,-25.869791,12.603476,BH
626,-25.906614,11.528399,BH
627,-28.93174,12.325807,BH
628,-31.397877,12.132197,BH
629,-30.206116,11.8248825,BH
630,-31.431856,12.004861,BH
631,-28.369026,11.0897255,BH
632,-28.84606,12.97212,BH
633,-27.322712,11.107988,BH
634,-29.390402,11.607312,BH
635,-27.739285,14.993667,BH
636,-22.660564,-17.840134,BH
637,1.3510246,-12.413444,BH
638,-26.106981,1.3853068,BH
639,-25.133627,-4.0169663,BH
640,-20.445515,19.025724,BH
641,-25.91982,8.768211,BH
642,-23.139158,8.058927,BH
643,-23.193375,4.243345,BH
644,-25.765581,1.561199,BH
645,-23.308346,9.733571,PH
646,-24.066729,9.098926,PH
647,0.87324995,-4.930695,PH
648,-24.946207,10.328569,PH
649,-28.77079,14.181574,PH
650,-28.512793,15.077203,PH
651,-31.096739,17.527822,PH
652,-25.605536,9.700567,PH
653,-14.009375,13.045379,PH
654,-22.540205,10.973789,PH
655,-4.0486226,-25.31089,PH
656,-18.351233,1.6908798,PH
657,-20.726776,17.564217,PH
658,-23.018822,-0.36985236,PH
659,15.424697,3.5170653,PH
660,-19.03146,8.871936,PH
661,-22.633455,9.946235,PH
662,-22.043592,9.655366,PH
663,-23.862595,10.198072,PH
664,-27.392828,1.5297714,PH
665,-21.208355,12.790723,PH
666,-21.35822,13.172457,PH
667,-5.8096256,-23.921724,PH
668,-11.708366,-19.340948,PH
669,-5.8509407,19.97564,PH
670,-9.705188,26.98218,PH
671,21.662392,-1.9823655,PH
672,-14.405913,10.26178,PH
673,-11.738454,-20.809689,PH
674,-10.087513,20.755701,PH
675,-10.345482,28.1402,PH
676,-15.504341,11.2829075,PH
677,-15.914696,11.101205,PH
678,-8.413853,28.597178,PH
679,-21.034697,11.223342,PH
680,-14.955943,10.72979,PH
681,-19.26277,26.559954,PH
682,-7.1376367,-19.775814,PH
683,-13.984079,25.248205,PH
684,-17.982483,19.86146,PH
685,-9.146087,28.16199,PH
686,-9.392757,27.796932,PH
687,-23.405354,-7.854656,PH
688,-13.193187,18.851961,PH
689,-5.3878293,22.584974,PH
690,-13.14384,13.948785,PH
691,-13.02798,15.149604,PH
692,23.61637,-0.26332444,PH
693,-8.317057,22.067825,PH
694,-13.040209,9.472452,PH
695,-6.0246563,17.823399,PH
696,-4.2284117,15.179876,PH
697,-22.185871,15.301858,PH
698,-19.797745,11.495719,PH
699,-16.569475,12.474724,PH
700,-14.887446,6.344965,PH
701,7.5475554,-0.7547142,PH
