,S33,U238,B11,Cr52,Mg24,Ge72,Ba137,K39,Nd146,Al27,Sr88,V51,Zr90,Li7,Mn55
round1,0.12802126704898137,0.09001734840054691,0.058663175378810294,0.0914374061132431,0.06877844571156454,0.07775474034166922,0.0745665434928927,0.07007766830302345,0.06364773330631865,0.06631177472953159,0.045827966961658015,0.05041677242179641,0.04359527026670901,0.04194155099267811,0.028942336530576616
round2,0.14054149585742573,0.07657394493831708,0.07615435850473179,0.07346849108693392,0.061315771516638376,0.05255275065438989,0.08536709833531016,0.06956304366924197,0.060572293123026234,0.0622441647693139,0.06550638101862498,0.04378517179845911,0.05930148740138687,0.03955436797283109,0.03349917935336889
round3,0.12231309362333413,0.07992580559287003,0.08247597663432572,0.08323197556815283,0.06577282294375493,0.06498944271930004,0.06776942228346568,0.05948175622231534,0.06648761408861589,0.0713808478013957,0.06495215352448584,0.04511493780136065,0.04502885945654295,0.039043170949738165,0.04203212079034213
round4,0.14517955191734885,0.09776376769901181,0.06842687070783277,0.06518479061214254,0.061281470206534586,0.07150036336304443,0.05957659165529002,0.0653467817862897,0.07148746329545183,0.046859302819138526,0.0540641003170368,0.0519954629796273,0.04956414141588104,0.05331564141365687,0.038453699811712864
round5,0.14311729317152394,0.10043875127619684,0.08884719000542952,0.08146981492983,0.061694086176272145,0.06573693107485123,0.06610579791521273,0.06626226589260262,0.06203211840420005,0.04937842798123439,0.04125764041084717,0.04928338665457234,0.03924220645061892,0.042034909075025266,0.04309918058158281
round6,0.13544396310852175,0.09329507866962072,0.0696087571893522,0.0848940954687018,0.07847635541743393,0.06064577185605041,0.07156825608903823,0.06886132779777485,0.05317227693629003,0.0675846963606622,0.04704814367088397,0.048746741674217976,0.046298912104607445,0.03705965659013995,0.03729596706670456
round7,0.1259577986158071,0.09032306078147716,0.10104884866335004,0.08472334634613743,0.06855909592347645,0.058501678690436765,0.05186825790556458,0.05694399341574572,0.07545677401951842,0.05995186169183464,0.05802960320092685,0.0520897891775567,0.04285916482562828,0.03765157192546273,0.03603515481707718
round8,0.14057126089060495,0.08428094971999704,0.08520921863593446,0.05633807774833022,0.08576107048013619,0.08590455369874382,0.061169340321866175,0.059815856064616035,0.05971457047941141,0.045197357871600674,0.042500673536119436,0.056068567278465944,0.05147192818236601,0.05174903177705377,0.034247543314753784
round9,0.14022682958809002,0.0790828772722571,0.0927925923011659,0.07056792275162285,0.06948575879835432,0.06963662276410418,0.07259834531645239,0.0635116736423825,0.058359330732596734,0.05786137123102033,0.06042493096011856,0.05656289652338553,0.03654668548135436,0.03799234188519812,0.03434982075189702
round10,0.129830738128073,0.09087062314917561,0.05686405356615267,0.0635605819860693,0.0904641758495984,0.0848146665049696,0.06871285740457693,0.06238815839034344,0.06499168761813826,0.06919670867655678,0.03816517703266606,0.05621206463113391,0.04432753320311672,0.03955013529065621,0.04005083856877319
