,class,Number of Observations,Mean F1 Score
0,CS,105,0.8125501754792372
1,PH,102,0.7057956448436326
2,LB,61,0.43542735042735037
3,FH,54,0.9402564102564103
4,WH,45,0.6027489177489176
5,WN,36,0.5442857142857143
6,BH,36,0.6869047619047619
7,WW,36,0.9301587301587301
8,BM,30,0.46047619047619043
9,PF,30,0.7473809523809523
10,SL,30,0.6092857142857143
11,BC,30,0.41877289377289373
12,AR,30,0.5428860028860029
13,FG,27,0.7823809523809524
14,ER,27,0.8066666666666666
15,KQ,27,0.6614285714285716
16,SQ,21,0.3638095238095238
17,TC,18,0.7333333333333333
