,class,Number of Observations,Mean F1 Score
0,CS,105,0.9063150202872914
1,PH,102,0.8672514619883043
2,LB,61,0.7515917415917415
3,FH,54,0.9797979797979799
4,WH,45,0.7619624819624817
5,WN,36,0.8153174603174603
6,BH,36,0.8403174603174604
7,WW,36,0.9212698412698412
8,PF,30,0.7885714285714285
9,AR,30,0.7458730158730159
10,SL,30,0.8823809523809523
11,ER,27,0.8933333333333333
12,FG,27,0.9016666666666667
13,KQ,27,0.7690476190476192
14,SQ,21,0.5700000000000001
15,WB,18,0.9800000000000001
16,TC,18,0.9466666666666667
