,class,Number of Observations,Mean F1 Score
0,CS,105,0.9135951772013154
1,PH,102,0.7860222749386836
2,LB,61,0.5771214896214897
3,FH,54,0.9320623820623821
4,WH,45,0.7184310134310135
5,WN,36,0.7440476190476192
6,BH,36,0.6528571428571429
7,WW,36,0.9571428571428571
8,BM,30,0.43841269841269837
9,PF,30,0.8764285714285712
10,SL,30,0.8471428571428572
11,BC,30,0.6088095238095238
12,AR,30,0.6073160173160173
13,FG,27,0.8280952380952382
14,ER,27,0.8066666666666666
15,KQ,27,0.6438095238095238
16,SQ,21,0.54
17,TC,18,0.85
