,tsne1,tsne2,class
0,-25.895,-28.16715,FH
1,-25.502253,-25.828352,FH
2,-28.347237,-24.453579,FH
3,5.351349,-6.8203735,FH
4,-28.390488,-24.277822,FH
5,-26.30257,-26.995754,FH
6,-26.066631,-30.96341,FH
7,-27.199898,-25.804655,FH
8,-25.28465,-26.634499,FH
9,-27.408031,-26.52048,FH
10,-21.05912,-31.009764,FH
11,-26.166708,-28.957314,FH
12,-24.757763,-24.87878,FH
13,-25.182972,-29.960527,FH
14,-25.37213,-24.883734,FH
15,-24.62661,-30.01872,FH
16,-25.580208,-24.379925,FH
17,-24.439516,-25.51561,FH
18,-26.04336,-30.199936,
19,-23.515936,-25.077787,FH
20,-24.36108,-27.175547,FH
21,-23.774185,-29.557924,FH
22,-25.541658,-29.408688,FH
23,-24.709648,-30.926641,FH
24,-18.001307,-12.848104,FH
25,-20.82674,-27.64319,FH
26,-27.117085,-31.027985,FH
27,-26.74836,-29.75828,FH
28,-23.629753,-31.941048,FH
29,-22.668182,-22.923845,FH
30,-27.000963,-29.11887,FH
31,-28.713875,-30.01237,FH
32,-28.537113,-27.841599,FH
33,-25.657568,-31.45312,FH
34,-28.639078,-27.97654,FH
35,-18.977406,-29.181774,FH
36,-20.357431,-29.371965,FH
37,-20.098316,-29.249004,FH
38,-20.741467,-15.389016,FH
39,-20.059902,-10.497233,FH
40,2.2643898,-6.149183,FH
41,-23.506075,-26.620462,FH
42,-23.057796,-26.978058,FH
43,-22.327778,-26.84441,FH
44,-24.383585,-28.42292,FH
45,-25.129747,-28.885532,FH
46,-26.556795,-27.837215,FH
47,-22.794735,-27.784506,FH
48,-23.506197,-27.574862,FH
49,-22.635208,-29.02929,FH
50,-21.544207,-25.858788,FH
51,-21.879921,-30.242004,FH
52,-22.95236,-30.67814,FH
53,-23.031855,-10.694272,FH
54,-24.84939,-12.0329075,ER
55,29.127344,-6.5956445,
56,-22.430012,-14.215395,ER
57,-22.702576,-14.487615,ER
58,-22.726036,-13.793261,ER
59,-22.225805,-12.259582,ER
60,-24.377556,-18.557617,
61,-22.524466,-10.269291,ER
62,-24.105894,-11.707512,ER
63,-25.188974,-14.974572,ER
64,-25.234728,-14.883507,ER
65,-23.256882,-8.18435,ER
66,-24.568604,-13.847007,ER
67,-25.259361,-13.524866,ER
68,-17.305918,-19.338758,ER
69,-22.179953,-17.454905,ER
70,-28.476234,-16.573193,ER
71,-24.369253,-12.528904,ER
72,-27.038586,-15.362769,
73,-24.062805,-13.232704,ER
74,-23.509813,-9.164572,ER
75,-23.808126,-10.461131,ER
76,-23.64677,-9.411042,ER
77,-27.534739,-11.280383,ER
78,-29.02285,-11.579646,ER
79,-29.4193,-13.458605,ER
80,-27.717855,-9.216304,ER
81,-28.800615,-12.854315,WW
82,-28.152784,-8.543465,WW
83,-27.53119,-14.488569,WW
84,-28.222593,-14.278288,WW
85,-30.053524,-13.427619,WW
86,-17.272974,-19.346107,WW
87,-31.560682,-13.758275,WW
88,-32.40465,-14.895915,WW
89,-33.8089,-15.681365,WW
90,-29.86802,-17.135868,WW
91,-29.004473,-16.376362,WW
92,-34.10818,-17.074465,WW
93,-31.498775,-16.111277,WW
94,-30.796024,-15.693441,WW
95,-26.875576,-15.872439,WW
96,-24.885601,-17.531078,WW
97,-25.43329,-16.3583,WW
98,-34.413013,-16.103878,WW
99,-36.00622,-15.694391,WW
100,-36.099785,-15.655389,WW
101,-27.376139,-17.63078,WW
102,-23.55993,-15.955642,WW
103,-27.020498,-17.044014,WW
104,-27.742834,-15.658901,WW
105,-27.352053,-13.590941,WW
106,-26.939045,-12.520926,WW
107,-30.919027,-18.477942,WW
108,-28.242517,-15.498267,WW
109,-25.806906,-12.916746,WW
110,-31.236774,-17.320074,WW
111,-28.980892,-15.084739,WW
112,-31.3156,-17.167412,WW
113,-17.634214,6.9780827,WW
114,-16.35663,6.033609,WW
115,-13.105208,-2.5047214,WW
116,-17.64837,0.65058345,WW
117,-20.269018,0.93279535,TC
118,-19.484741,0.5486653,TC
119,-16.576109,4.524347,TC
120,-7.846373,7.399353,TC
121,-10.912016,6.1401067,TC
122,-13.517968,5.619597,TC
123,-14.380516,4.4795384,TC
124,-14.349367,4.2860694,TC
125,2.8466165,11.177204,TC
