,tsne1,tsne2,inlierLabel
0,1.549569,6.6521773,1
1,1.828279,7.250741,-1
2,2.1293802,7.9229794,-1
3,-23.81699,4.04551,1
4,-26.727148,7.169671,1
5,-26.902267,7.3733344,1
6,-4.497691,-13.449016,-1
7,-5.809369,-12.900621,-1
8,-3.9479399,-13.285994,1
9,5.2287173,-1.2425901,1
10,4.542333,-2.020845,1
11,4.9840236,-1.5163019,1
12,1.997194,3.4727643,-1
13,1.9022222,3.1397774,1
14,1.5419116,2.2166765,1
15,-1.1087103,-17.115475,-1
16,-0.4176129,-16.846273,1
17,0.9440211,-16.397026,1
18,-1.4939917,-15.823616,1
19,7.8174133,-2.1720943,-1
20,-4.0055265,-16.853552,-1
21,3.9122941,2.3521616,1
22,3.8109171,3.13404,1
23,4.397031,4.301031,1
24,-2.316997,-17.118986,1
25,0.36291528,-14.519937,1
26,0.64769995,-14.715596,1
27,5.29105,5.6579113,-1
28,5.393088,5.582869,-1
29,4.8667293,7.7232904,-1
30,6.6113167,-4.0296144,1
31,-6.9499063,-7.258308,1
32,1.516563,-6.2671485,1
33,-3.5850735,-18.069136,1
34,-1.8173507,-18.423811,1
35,2.0355396,-18.172544,-1
36,0.8341217,10.636656,-1
37,2.1785886,-1.652127,1
38,2.88815,-1.3930058,-1
39,-2.6668203,-15.894052,1
40,2.3387954,-18.636797,-1
41,-3.2332258,-16.667479,-1
42,-1.6236142,-3.0879152,1
43,-1.6026137,-4.379769,1
44,-2.9533784,-6.2219596,1
45,2.2631567,-3.5552123,1
46,1.8793358,-3.3180814,1
47,-6.499247,-4.8524346,1
48,-5.67351,-7.2964997,1
49,2.5333714,-4.7091517,1
50,1.8063133,-5.9456506,-1
51,0.7561516,-11.095323,-1
52,-4.2711782,-2.110137,-1
53,0.6561514,-11.669954,-1
54,-15.052115,6.049987,1
55,-22.738972,9.891313,1
56,-18.222015,10.906791,1
57,-0.8237168,-17.899513,-1
58,-0.9612312,-15.288494,-1
59,0.13505182,-13.066544,-1
60,0.2610541,-15.473206,1
61,7.7701297,-2.3235495,-1
62,2.197497,-13.299755,1
63,-16.299772,-4.041945,1
64,-17.52293,-3.0686042,-1
65,-20.803335,10.524479,-1
66,-7.9977336,-6.7966394,-1
67,8.611474,13.812105,-1
68,-8.763701,-6.8377585,-1
69,19.146797,4.653011,-1
70,19.737234,4.666395,-1
71,19.71595,5.4105783,-1
72,20.877989,3.9714844,-1
73,19.40516,1.4951392,-1
74,21.35211,2.2140837,-1
75,2.0815983,-16.439802,1
76,2.5057843,-15.50357,1
77,-2.067612,-17.8859,1
78,0.708272,-18.448206,1
79,2.1594763,-19.2276,-1
80,-0.24480638,-19.674526,1
81,-1.1513776,-19.661905,1
82,-7.185592,-8.840037,-1
83,-6.882009,-8.135712,1
84,-3.869881,-10.542835,1
85,-3.755195,-10.047372,1
86,-3.7242565,-11.304177,1
87,-3.6519036,-8.589984,1
88,-3.320102,-7.614015,1
89,-1.2596644,2.0545866,1
90,0.5259015,-4.071573,1
91,0.95262086,-3.4429069,1
92,0.09243481,-2.7297506,1
93,-21.804104,10.230271,1
94,-14.868749,9.369727,-1
95,-16.818686,-3.4933202,1
96,-24.272041,6.6864953,1
97,-25.644758,11.364399,1
98,-26.204168,12.432874,-1
99,3.8822458,-10.463996,1
100,3.3070104,-12.263961,1
101,3.5301068,-11.302626,1
102,-8.590184,-13.205305,-1
103,-2.673888,-18.926437,1
104,4.43461,-10.801068,1
105,4.303511,-6.1151347,1
106,3.1501458,-5.880534,1
107,4.1233044,-4.4858637,1
108,-2.0943592,-13.005696,1
109,3.6981182,-17.709265,1
110,-1.1725782,-14.294461,1
111,13.972962,6.3744016,-1
112,14.412291,6.754854,-1
113,14.1841545,5.878406,-1
114,-26.593704,9.289163,-1
115,-27.373226,10.297595,-1
116,-26.575354,9.679069,1
117,5.654578,-5.2382827,1
